id,soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
1,coloma,1,1,0.00,0.00,0.00,0.00,574.62,859.11,148.69,5992.90,0.00,15.43
2,coloma,2,1,0.00,491.76,0.00,0.00,707.79,844.07,266.10,7576.03,0.00,19.94
3,coloma,2,2,0.00,322.18,0.00,0.00,760.43,751.79,275.44,7326.52,0.00,22.47
4,coloma,2,3,0.00,514.06,0.00,0.00,708.97,770.85,264.32,7580.27,0.00,20.07
5,coloma,3,1,0.00,677.30,0.00,0.00,606.48,1019.33,190.94,6252.12,0.00,19.44
6,coloma,3,2,0.00,342.80,0.00,0.00,561.70,789.61,166.62,5275.36,0.00,17.00
7,coloma,3,3,0.00,351.20,0.00,0.00,568.63,871.80,167.96,5742.07,0.00,16.92
8,coloma,6,1,0.00,517.37,0.00,0.00,663.09,872.15,271.31,6849.13,0.00,23.78
9,coloma,6,2,0.00,122.61,0.00,0.00,589.08,657.54,230.16,5714.34,0.00,19.38
10,coloma,6,3,0.00,118.96,0.00,0.00,707.20,739.21,231.59,6385.83,0.00,19.81
11,coloma,7,1,0.00,362.26,0.00,0.00,359.18,806.78,125.17,4132.95,0.00,13.32
12,coloma,7,2,0.00,194.17,0.00,0.00,641.08,742.98,175.92,5754.54,0.00,17.16
13,coloma,7,3,0.00,251.61,0.00,0.00,835.25,774.30,172.74,6187.62,0.00,17.95
14,coloma,8,1,0.00,413.70,0.00,0.00,521.91,775.18,175.01,6027.88,0.00,17.98
15,coloma,8,2,0.00,54.63,0.00,0.00,541.87,698.77,178.33,5865.16,0.00,17.14
16,coloma,8,3,0.00,109.36,0.00,0.00,670.46,734.73,170.15,6344.14,0.00,17.95
17,coloma,9,1,0.00,391.76,0.00,0.00,550.19,745.72,149.72,5668.12,0.00,15.62
18,coloma,9,2,0.00,133.14,0.00,0.00,532.14,643.57,147.63,5351.07,0.00,14.94
19,coloma,9,3,0.00,191.47,0.00,0.00,621.81,698.86,143.60,5908.67,0.00,15.13
20,coloma,10,1,0.00,339.66,0.00,0.00,503.05,763.58,174.59,5401.22,0.00,15.27
21,coloma,10,2,0.00,127.88,0.00,0.00,549.70,710.46,177.13,5488.01,0.00,14.79
22,coloma,10,3,0.00,247.96,0.00,0.00,623.56,766.24,176.40,6015.40,0.00,15.55
23,coloma,11,1,0.00,348.98,0.00,0.00,596.03,844.52,292.37,7306.62,0.00,21.77
24,coloma,11,2,0.00,164.34,0.00,0.00,610.81,752.22,289.84,7117.29,0.00,20.79
25,coloma,11,3,0.00,252.77,0.00,0.00,674.05,821.37,291.69,7931.51,0.00,21.37
26,coloma,12,1,0.00,652.66,0.00,0.00,777.40,763.46,392.57,6631.98,0.00,26.99
27,coloma,12,2,0.00,285.98,0.00,0.00,752.89,689.04,400.75,6661.66,0.00,25.20
28,coloma,12,3,0.00,480.29,0.00,0.00,793.06,727.11,385.25,7123.29,0.00,25.91
29,coloma,13,1,0.00,600.16,0.00,0.00,464.56,951.99,127.10,4994.33,0.00,13.90
30,coloma,13,2,0.00,352.34,0.00,0.00,497.58,857.49,126.95,5033.87,0.00,13.40
31,coloma,13,3,0.00,357.89,0.00,0.00,539.74,922.64,124.65,5505.48,0.00,13.13
32,coloma,14,1,0.00,419.87,0.00,0.00,515.05,780.60,121.56,5051.98,0.00,12.91
33,coloma,14,2,0.00,208.52,0.00,0.00,529.51,703.99,124.32,5216.40,0.00,13.13
34,coloma,14,3,0.00,238.36,0.00,0.00,538.74,740.49,119.71,5576.26,0.00,12.64
35,coloma,15,1,0.00,745.59,0.00,0.00,773.41,979.43,334.24,8763.05,0.00,24.04
36,coloma,15,2,0.00,389.61,0.00,0.00,877.96,861.91,330.23,8656.71,0.00,22.61
37,coloma,15,3,0.00,512.21,0.00,0.00,768.97,911.85,327.07,9602.03,0.00,23.44
38,coloma,16,1,0.00,568.84,0.00,0.00,564.41,861.41,144.80,5622.18,0.00,17.06
39,coloma,16,2,0.00,301.18,0.00,0.00,555.73,763.14,141.79,5594.85,0.00,17.67
