,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
B,1.0,-0.20789504343923326,-0.028096035313440206,0.5379802034945046,0.6448295538001528,-0.2204462143679683,0.14365716866092293,0.35562142477656133,0.5553961966056981,-0.2495015080067737
Mg,-0.20789504343923326,1.0,0.24724414628987776,-0.7219439395367586,0.24778591112754628,0.8260122311204492,0.2266027345413918,0.20338455239159425,-0.6322171681127058,0.7045061886957884
P,-0.028096035313440206,0.24724414628987776,1.0,-0.11140138464842697,0.06550333603487635,0.29585206250164264,0.3074235161455964,0.1753904543167803,-0.002069672038116742,0.1779594610752427
S,0.5379802034945046,-0.7219439395367586,-0.11140138464842697,1.0,-0.03978614233483825,-0.4903725276094334,0.00632994984849,0.14049879373501611,0.8017484694032948,-0.5477012591773454
K,0.6448295538001528,0.24778591112754628,0.06550333603487635,-0.03978614233483825,1.0,0.08823980649393465,0.0542756467089531,0.007410085257197789,0.020494084734502087,0.12387827740243504
Ca,-0.2204462143679683,0.8260122311204492,0.29585206250164264,-0.4903725276094334,0.08823980649393465,1.0,0.18895620580693337,0.16592689701704275,-0.4925699069507058,0.6325743205950668
Mn,0.14365716866092293,0.2266027345413918,0.3074235161455964,0.00632994984849,0.0542756467089531,0.18895620580693337,1.0,0.5300670670495841,0.17124675977926115,0.36571095985026686
Fe,0.35562142477656133,0.20338455239159425,0.1753904543167803,0.14049879373501611,0.007410085257197789,0.16592689701704275,0.5300670670495841,1.0,0.36055984817674236,0.09410296506505447
Cu,0.5553961966056981,-0.6322171681127058,-0.002069672038116742,0.8017484694032948,0.020494084734502087,-0.4925699069507058,0.17124675977926115,0.36055984817674236,1.0,-0.6146160869025443
Zn,-0.2495015080067737,0.7045061886957884,0.1779594610752427,-0.5477012591773454,0.12387827740243504,0.6325743205950668,0.36571095985026686,0.09410296506505447,-0.6146160869025443,1.0
