,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
B,1.0,-0.219538247922077,-0.03131997066089544,0.5547709393539539,0.6328914250122388,-0.2308984062710241,0.14428808723371134,0.3561510265419177,0.5709565911881332,-0.2592453507687376
Mg,-0.219538247922077,1.0,0.24716134088317135,-0.7185498607023391,0.25052460123765835,0.825566208148047,0.2264003082179902,0.20284246761358962,-0.6241422680835587,0.7043983568388772
P,-0.03131997066089544,0.24716134088317135,1.0,-0.10964885064534467,0.06548287923082136,0.2960007562483075,0.30742860438450326,0.1753539810464114,0.002471682519486949,0.17796516086245856
S,0.5547709393539539,-0.7185498607023391,-0.10964885064534467,1.0,-0.03873477041390939,-0.48649069509347814,0.0069002995504773065,0.14343869125162312,0.8023276993555849,-0.5457758893088468
K,0.6328914250122388,0.25052460123765835,0.06548287923082136,-0.03873477041390939,1.0,0.08822778594141639,0.0542756467089531,0.007410085257197789,0.023176176282923205,0.12387827740243504
Ca,-0.2308984062710241,0.825566208148047,0.2960007562483075,-0.48649069509347814,0.08822778594141639,1.0,0.18891263498155195,0.16577325867578727,-0.4837287079874556,0.6326706422179491
Mn,0.14428808723371134,0.2264003082179902,0.30742860438450326,0.0069002995504773065,0.0542756467089531,0.18891263498155195,1.0,0.5300670670495841,0.1745780465795032,0.36571095985026686
Fe,0.3561510265419177,0.20284246761358962,0.1753539810464114,0.14343869125162312,0.007410085257197789,0.16577325867578727,0.5300670670495841,1.0,0.36625831048460655,0.09410296506505447
Cu,0.5709565911881332,-0.6241422680835587,0.002471682519486949,0.8023276993555849,0.023176176282923205,-0.4837287079874556,0.1745780465795032,0.36625831048460655,1.0,-0.6111677778677176
Zn,-0.2592453507687376,0.7043983568388772,0.17796516086245856,-0.5457758893088468,0.12387827740243504,0.6326706422179491,0.36571095985026686,0.09410296506505447,-0.6111677778677176,1.0
