,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
B,1.0,-0.4126637356745633,0.16118279677841835,0.4951107693884231,0.04964280366962725,-0.3367320699231327,0.18236888795394463,0.4824751179950147,0.6458756769595662,-0.415036260445775
Mg,-0.4126637356745633,1.0,0.25254446811913245,-0.6646830952749883,0.15101034116432954,0.8165149250131883,0.233506803172796,0.21931303612388534,-0.6359134600075095,0.7126403169762684
P,0.16118279677841835,0.25254446811913245,1.0,-0.029976775576679403,0.06673768811086196,0.2996416187337546,0.3069191548491871,0.17755550683635773,-0.0012610654053765943,0.17749592781710505
S,0.4951107693884231,-0.6646830952749883,-0.029976775576679403,1.0,-0.051354062364373176,-0.4970792340852601,0.04536609820221876,0.0310206009215488,0.7092874413149979,-0.5337547621245889
K,0.04964280366962725,0.15101034116432954,0.06673768811086196,-0.051354062364373176,1.0,0.07973433205003731,0.054275646708953115,0.007410085257197789,0.02169637933437542,0.12387827740243504
Ca,-0.3367320699231327,0.8165149250131883,0.2996416187337546,-0.4970792340852601,0.07973433205003731,1.0,0.18935089628673066,0.13534495844619815,-0.4910637439066353,0.6325468028982297
Mn,0.18236888795394463,0.233506803172796,0.3069191548491871,0.04536609820221876,0.054275646708953115,0.18935089628673066,1.0,0.5300670670495841,0.16860386344286615,0.36571095985026686
Fe,0.4824751179950147,0.21931303612388534,0.17755550683635773,0.0310206009215488,0.007410085257197789,0.13534495844619815,0.5300670670495841,1.0,0.3614367061807079,0.09410296506505447
Cu,0.6458756769595662,-0.6359134600075095,-0.0012610654053765943,0.7092874413149979,0.02169637933437542,-0.4910637439066353,0.16860386344286615,0.3614367061807079,1.0,-0.6139986397532429
Zn,-0.415036260445775,0.7126403169762684,0.17749592781710505,-0.5337547621245889,0.12387827740243504,0.6325468028982297,0.36571095985026686,0.09410296506505447,-0.6139986397532429,1.0
