,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
B,1.0,-0.6779889745552781,-0.11123452586541138,0.6941932930367026,-0.032597256225940424,-0.4997310891656171,0.004797742273376107,0.3182608142012829,0.8723515528798786,-0.6177574056090097
Mg,-0.6779889745552781,1.0,0.2530932044766045,-0.6415185890177014,0.16158675813319082,0.7992733541241587,0.2348099034404737,0.2198802619420084,-0.6292375277863934,0.7119884044620809
P,-0.11123452586541138,0.2530932044766045,1.0,-0.10888798372592029,0.06672829218192167,0.2903921273417105,0.30692455867637397,0.17753930962429781,0.004888970170136561,0.1775004045879455
S,0.6941932930367026,-0.6415185890177014,-0.10888798372592029,1.0,-0.02990214040871716,-0.4756396600900366,-0.0007597348536558146,0.05533001050316419,0.6876391400053867,-0.4913704317521101
K,-0.032597256225940424,0.16158675813319082,0.06672829218192167,-0.02990214040871716,1.0,0.07954386773619145,0.05427564670895307,0.007410085257197742,0.023524617516229626,0.12387827740243501
Ca,-0.4997310891656171,0.7992733541241587,0.2903921273417105,-0.4756396600900366,0.07954386773619145,1.0,0.18586548047452042,0.12908623406880834,-0.46644102442381347,0.6167914988747905
Mn,0.004797742273376107,0.2348099034404737,0.30692455867637397,-0.0007597348536558146,0.05427564670895307,0.18586548047452042,1.0,0.5300670670495842,0.1747570619572433,0.3657109598502669
Fe,0.3182608142012829,0.2198802619420084,0.17753930962429781,0.05533001050316419,0.007410085257197742,0.12908623406880834,0.5300670670495842,1.0,0.3668234021960887,0.09410296506505453
Cu,0.8723515528798786,-0.6292375277863934,0.004888970170136561,0.6876391400053867,0.023524617516229626,-0.46644102442381347,0.1747570619572433,0.3668234021960887,1.0,-0.6105931071064047
Zn,-0.6177574056090097,0.7119884044620809,0.1775004045879455,-0.4913704317521101,0.12387827740243501,0.6167914988747905,0.3657109598502669,0.09410296506505453,-0.6105931071064047,1.0
