,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
B,1.0,-0.44682503864959605,-0.0314151429310594,0.7310523191434632,0.4487714557480338,-0.4059053406276602,0.15749679349534368,0.32400203097421937,0.7770240911752502,-0.4764601891121491
Mg,-0.44682503864959605,1.0,0.24798697924035945,-0.7156879528780614,0.2305463721882592,0.8275506102763097,0.2288072371786278,0.20823319438264581,-0.6329069392113599,0.7055619309142137
P,-0.0314151429310594,0.24798697924035945,1.0,-0.09490885952082992,0.06554960980303101,0.2968303340392658,0.30741163618687556,0.1754728906808334,-0.000966603168629887,0.1779463436121001
S,0.7310523191434632,-0.7156879528780614,-0.09490885952082992,1.0,-0.04111416844249723,-0.48224997824250626,0.01533786414796446,0.1452278385683438,0.8187007146269693,-0.5542242186995121
K,0.4487714557480338,0.2305463721882592,0.06554960980303101,-0.04111416844249723,1.0,0.08902415263009217,0.0542756467089531,0.007410085257197789,0.020937592652510363,0.12387827740243504
Ca,-0.4059053406276602,0.8275506102763097,0.2968303340392658,-0.48224997824250626,0.08902415263009217,1.0,0.18815176371034062,0.16556555828149305,-0.4885893245918335,0.6325303347687302
Mn,0.15749679349534368,0.2288072371786278,0.30741163618687556,0.01533786414796446,0.0542756467089531,0.18815176371034062,1.0,0.5300670670495841,0.17219128791878138,0.36571095985026686
Fe,0.32400203097421937,0.20823319438264581,0.1754728906808334,0.1452278385683438,0.007410085257197789,0.16556555828149305,0.5300670670495841,1.0,0.3616145340353437,0.09410296506505447
Cu,0.7770240911752502,-0.6329069392113599,-0.000966603168629887,0.8187007146269693,0.020937592652510363,-0.4885893245918335,0.17219128791878138,0.3616145340353437,1.0,-0.614048336479203
Zn,-0.4764601891121491,0.7055619309142137,0.1779463436121001,-0.5542242186995121,0.12387827740243504,0.6325303347687302,0.36571095985026686,0.09410296506505447,-0.614048336479203,1.0
