,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
B,1.0,0.027300745033875518,-0.14646405444719945,0.21111611116906057,0.38302004461437067,0.02041708543372238,-0.05713067535785918,0.3431698714258943,0.16028690061322637,0.12420094571349963
Mg,0.027300745033875518,1.0,0.24603306425831556,-0.666194300456857,0.31173946873335934,0.8093449087449607,0.22242341409332955,0.18681933309139087,-0.6158619402776899,0.7006088843905481
P,-0.14646405444719945,0.24603306425831556,1.0,-0.09154242515051124,0.06639452735350125,0.2976369058601537,0.30710020102800956,0.17696099442052726,0.003646955799685592,0.17764954153479584
S,0.21111611116906057,-0.666194300456857,-0.09154242515051124,1.0,-0.036302907077176046,-0.4535046070644852,0.011633170792701729,0.11887733787766999,0.7181568805938776,-0.4910437254082468
K,0.38302004461437067,0.31173946873335934,0.06639452735350125,-0.036302907077176046,1.0,0.08618213819114974,0.0542756467089531,0.007410085257197789,0.02312816351937006,0.12387827740243504
Ca,0.02041708543372238,0.8093449087449607,0.2976369058601537,-0.4535046070644852,0.08618213819114974,1.0,0.18897164588044404,0.15954806793604862,-0.4814143518474012,0.6301757453278954
Mn,-0.05713067535785918,0.22242341409332955,0.30710020102800956,0.011633170792701729,0.0542756467089531,0.18897164588044404,1.0,0.5300670670495841,0.17446750559394392,0.36571095985026686
Fe,0.3431698714258943,0.18681933309139087,0.17696099442052726,0.11887733787766999,0.007410085257197789,0.15954806793604862,0.5300670670495841,1.0,0.3662440191341375,0.09410296506505447
Cu,0.16028690061322637,-0.6158619402776899,0.003646955799685592,0.7181568805938776,0.02312816351937006,-0.4814143518474012,0.17446750559394392,0.3662440191341375,1.0,-0.6113049360727024
Zn,0.12420094571349963,0.7006088843905481,0.17764954153479584,-0.4910437254082468,0.12387827740243504,0.6301757453278954,0.36571095985026686,0.09410296506505447,-0.6113049360727024,1.0
