,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
B,1.0,-0.04449243279743525,0.05697994094776585,0.29981700705782505,0.1632884983033499,-0.052362158753369005,0.2235321388089025,0.37919384892241803,0.38011158312036414,-0.11918788446286233
Mg,-0.04449243279743525,1.0,0.24987070654637128,-0.6137287974315679,0.16460121246760637,0.7988844511178417,0.23204733591522755,0.2168505123874241,-0.6343365366374761,0.7085602727472293
P,0.05697994094776585,0.24987070654637128,1.0,-0.18212396677313614,0.06636999778641749,0.30289181482371247,0.3071118827681754,0.1769182698810295,0.0016498010976995971,0.17765975852890786
S,0.29981700705782505,-0.6137287974315679,-0.18212396677313614,1.0,0.0031320819256877167,-0.4442362616443483,-0.013098542893832282,0.044257332860065196,0.6749585004443314,-0.49479971895017266
K,0.1632884983033499,0.16460121246760637,0.06636999778641749,0.0031320819256877167,1.0,0.07127820715824928,0.0542756467089531,0.007410085257197789,0.022271625720912815,0.12387827740243504
Ca,-0.052362158753369005,0.7988844511178417,0.30289181482371247,-0.4442362616443483,0.07127820715824928,1.0,0.19227485988724016,0.11526215131147675,-0.491034291211873,0.6267038005813819
Mn,0.2235321388089025,0.23204733591522755,0.3071118827681754,-0.013098542893832282,0.0542756467089531,0.19227485988724016,1.0,0.5300670670495841,0.17320588189877628,0.36571095985026686
Fe,0.37919384892241803,0.2168505123874241,0.1769182698810295,0.044257332860065196,0.007410085257197789,0.11526215131147675,0.5300670670495841,1.0,0.3645474049682185,0.09410296506505447
Cu,0.38011158312036414,-0.6343365366374761,0.0016498010976995971,0.6749585004443314,0.022271625720912815,-0.491034291211873,0.17320588189877628,0.3645474049682185,1.0,-0.6129383719037725
Zn,-0.11918788446286233,0.7085602727472293,0.17765975852890786,-0.49479971895017266,0.12387827740243504,0.6267038005813819,0.36571095985026686,0.09410296506505447,-0.6129383719037725,1.0
