,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
B,1.0,0.9813137329141145,0.6852594228628537,0.8958051759629115,0.7644319906355014,0.9824731971520987,-0.39755851787580776,-0.7034598136217118,-0.9174388541913336,0.982522790996375
Mg,0.9813137329141145,1.0,0.6964532239016312,0.8473806755097903,0.7045769025605,0.998713280660483,-0.4945235109130652,-0.7539233451460994,-0.9586215235985754,0.9955263018699755
P,0.6852594228628537,0.6964532239016312,1.0,0.6227840072481666,0.7194521359937227,0.7195177689947977,0.13423692179270857,-0.11408239220661102,-0.6313281851764745,0.7255228208822416
S,0.8958051759629115,0.8473806755097903,0.6227840072481666,1.0,0.9445379455397281,0.8454125082537569,-0.16993625710391255,-0.645116940731528,-0.8254936427570749,0.8498857070524015
K,0.7644319906355014,0.7045769025605,0.7194521359937227,0.9445379455397281,1.0,0.7099117111984283,0.1276027576375593,-0.399110020207555,-0.6735366415015246,0.7171857190184163
Ca,0.9824731971520987,0.998713280660483,0.7195177689947977,0.8454125082537569,0.7099117111984283,1.0,-0.4701884898111408,-0.7261594244450802,-0.9556643325216507,0.9981249632768155
Mn,-0.39755851787580776,-0.4945235109130652,0.13423692179270857,-0.16993625710391255,0.1276027576375593,-0.4701884898111408,1.0,0.8035209887266188,0.5897120905241726,-0.4626288637010761
Fe,-0.7034598136217118,-0.7539233451460994,-0.11408239220661102,-0.645116940731528,-0.399110020207555,-0.7261594244450802,0.8035209887266188,1.0,0.8036923356357515,-0.7108287352551644
Cu,-0.9174388541913336,-0.9586215235985754,-0.6313281851764745,-0.8254936427570749,-0.6735366415015246,-0.9556643325216507,0.5897120905241726,0.8036923356357515,1.0,-0.958626384225795
Zn,0.982522790996375,0.9955263018699755,0.7255228208822416,0.8498857070524015,0.7171857190184163,0.9981249632768155,-0.4626288637010761,-0.7108287352551644,-0.958626384225795,1.0
