,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
B,1.0,-0.6527583949717352,-0.012569998080324656,0.6471162121665867,0.030549323155152373,-0.5015198217727037,0.07285623354831768,0.26361653063967494,0.8760763444870567,-0.6126168067817078
Mg,-0.6527583949717352,1.0,0.2520980527001516,-0.6844132270055711,0.13853325863065327,0.8331388099485456,0.2391240088471055,0.2246036367652737,-0.6338020115008959,0.7112215876412821
P,-0.012569998080324656,0.2520980527001516,1.0,-0.11851670411438774,0.0661599187408424,0.28839456152166276,0.30720525691302775,0.1765511554573399,0.002753305069529191,0.17774321610203
S,0.6471162121665867,-0.6844132270055711,-0.11851670411438774,1.0,-0.057078829016553596,-0.5373411803959142,-0.013665646904835975,0.04114262810473204,0.6499484045098377,-0.4797002928172246
K,0.030549323155152373,0.13853325863065327,0.0661599187408424,-0.057078829016553596,1.0,0.08620656243893014,0.0542756467089531,0.007410085257197789,0.022816080474645183,0.12387827740243504
Ca,-0.5015198217727037,0.8331388099485456,0.28839456152166276,-0.5373411803959142,0.08620656243893014,1.0,0.18734335971204194,0.16267271761493077,-0.4842656521655156,0.6342838915433194
Mn,0.07285623354831768,0.2391240088471055,0.30720525691302775,-0.013665646904835975,0.0542756467089531,0.18734335971204194,1.0,0.5300670670495841,0.17425397279848653,0.36571095985026686
Fe,0.26361653063967494,0.2246036367652737,0.1765511554573399,0.04114262810473204,0.007410085257197789,0.16267271761493077,0.5300670670495841,1.0,0.3655960750808412,0.09410296506505447
Cu,0.8760763444870567,-0.6338020115008959,0.002753305069529191,0.6499484045098377,0.022816080474645183,-0.4842656521655156,0.17425397279848653,0.3655960750808412,1.0,-0.6117728227220443
Zn,-0.6126168067817078,0.7112215876412821,0.17774321610203,-0.4797002928172246,0.12387827740243504,0.6342838915433194,0.36571095985026686,0.09410296506505447,-0.6117728227220443,1.0
