,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
B,1.0,-0.6049471426577541,-0.05694551503622778,0.6430925647149929,0.053301139922021096,-0.44610294932421424,0.045002612189154696,0.3439456232969312,0.8327123710789882,-0.5120706512009573
Mg,-0.6049471426577541,1.0,0.2525512983082754,-0.690912001566993,0.14378572497347414,0.8259071030498158,0.23910258370742957,0.22441843748323556,-0.6316046574215667,0.712154654409443
P,-0.05694551503622778,0.2525512983082754,1.0,-0.18791598787368058,0.06643647721050945,0.287611861213458,0.30707984007298017,0.17703399150992027,0.004152913586445584,0.17763183646109484
S,0.6430925647149929,-0.690912001566993,-0.18791598787368058,1.0,-0.057969293874566,-0.5233682920613923,-0.0681516059466975,-0.014561044189790517,0.6242529820936508,-0.4784450926262593
K,0.053301139922021096,0.14378572497347414,0.06643647721050945,-0.057969293874566,1.0,0.08580313373385488,0.0542756467089531,0.007410085257197789,0.023413129787776064,0.12387827740243504
Ca,-0.44610294932421424,0.8259071030498158,0.287611861213458,-0.5233682920613923,0.08580313373385488,1.0,0.1879785014894061,0.149911915368671,-0.4790308764019131,0.6302832507305947
Mn,0.045002612189154696,0.23910258370742957,0.30707984007298017,-0.0681516059466975,0.0542756467089531,0.1879785014894061,1.0,0.5300670670495841,0.17464175259169729,0.36571095985026686
Fe,0.3439456232969312,0.22441843748323556,0.17703399150992027,-0.014561044189790517,0.007410085257197789,0.149911915368671,0.5300670670495841,1.0,0.3666252730131584,0.09410296506505447
Cu,0.8327123710789882,-0.6316046574215667,0.004152913586445584,0.6242529820936508,0.023413129787776064,-0.4790308764019131,0.17464175259169729,0.3666252730131584,1.0,-0.6108671001511763
Zn,-0.5120706512009573,0.712154654409443,0.17763183646109484,-0.4784450926262593,0.12387827740243504,0.6302832507305947,0.36571095985026686,0.09410296506505447,-0.6108671001511763,1.0
