,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
B,1.0,0.125094567344978,0.05369202965527873,0.14512484883575966,0.15218924725909175,0.09953972526108826,0.28576273484827996,0.577746687946406,0.23396498983590994,0.039665504733078616
Mg,0.125094567344978,1.0,0.247561229532541,-0.5200212271337787,0.1804277226245496,0.811897098109518,0.2278863830657462,0.21802719007697122,-0.6348109524758618,0.7041182015544393
P,0.05369202965527873,0.247561229532541,1.0,-0.035465671262196984,0.06643453088200392,0.29502671847159606,0.30708079548482764,0.17703060664017536,-0.002920422161843882,0.17763266442135697
S,0.14512484883575966,-0.5200212271337787,-0.035465671262196984,1.0,0.042353556613089094,-0.38381055822508753,0.09602968699259148,0.21634942702802046,0.612096750420865,-0.4075712143712672
K,0.15218924725909175,0.1804277226245496,0.06643453088200392,0.042353556613089094,1.0,0.07763998014455577,0.0542756467089531,0.007410085257197789,0.020349071229973995,0.12387827740243504
Ca,0.09953972526108826,0.811897098109518,0.29502671847159606,-0.38381055822508753,0.07763998014455577,1.0,0.1909049669490585,0.13440416523021756,-0.4949436584108128,0.6270634439286985
Mn,0.28576273484827996,0.2278863830657462,0.30708079548482764,0.09602968699259148,0.0542756467089531,0.1909049669490585,1.0,0.5300670670495841,0.16959144316544827,0.36571095985026686
Fe,0.577746687946406,0.21802719007697122,0.17703060664017536,0.21634942702802046,0.007410085257197789,0.13440416523021756,0.5300670670495841,1.0,0.3595598053597039,0.09410296506505447
Cu,0.23396498983590994,-0.6348109524758618,-0.002920422161843882,0.612096750420865,0.020349071229973995,-0.4949436584108128,0.16959144316544827,0.3595598053597039,1.0,-0.6149933642162417
Zn,0.039665504733078616,0.7041182015544393,0.17763266442135697,-0.4075712143712672,0.12387827740243504,0.6270634439286985,0.36571095985026686,0.09410296506505447,-0.6149933642162417,1.0
