,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
B,1.0,0.39650383682666585,0.0794291704838035,-0.17155567452911072,0.15843468756914217,0.33516380143408064,0.1821784461664176,0.4699354813083701,-0.10962969797802256,0.3525770242871971
Mg,0.39650383682666585,1.0,0.2513165333899055,-0.4262653831224764,0.14692015674177356,0.8132114885111524,0.23929484629449435,0.22690632664403437,-0.6311118682386231,0.7095965980831102
P,0.0794291704838035,0.2513165333899055,1.0,-0.07366730195604368,0.06660056837934449,0.2957902502271786,0.3069954928086286,0.17731867568129261,0.0038275587132595196,0.17755973049233031
S,-0.17155567452911072,-0.4262653831224764,-0.07366730195604368,1.0,0.031997739032486754,-0.2741145339992612,0.031505887985024114,0.07233059787251966,0.49707242729763884,-0.3332631061063853
K,0.15843468756914217,0.14692015674177356,0.06660056837934449,0.031997739032486754,1.0,0.0791224402555033,0.054275646708953136,0.007410085257197839,0.02320010490326403,0.12387827740243508
Ca,0.33516380143408064,0.8132114885111524,0.2957902502271786,-0.2741145339992612,0.0791224402555033,1.0,0.19015843768461663,0.13604530232944187,-0.4804368903409984,0.6250612005457885
Mn,0.1821784461664176,0.23929484629449435,0.3069954928086286,0.031505887985024114,0.054275646708953136,0.19015843768461663,1.0,0.5300670670495841,0.17421911115140792,0.36571095985026686
Fe,0.4699354813083701,0.22690632664403437,0.17731867568129261,0.07233059787251966,0.007410085257197839,0.13604530232944187,0.5300670670495841,1.0,0.3662236277241303,0.09410296506505433
Cu,-0.10962969797802256,-0.6311118682386231,0.0038275587132595196,0.49707242729763884,0.02320010490326403,-0.4804368903409984,0.17421911115140792,0.3662236277241303,1.0,-0.6114562400895628
Zn,0.3525770242871971,0.7095965980831102,0.17755973049233031,-0.3332631061063853,0.12387827740243508,0.6250612005457885,0.36571095985026686,0.09410296506505433,-0.6114562400895628,1.0
