B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
38.024,339.48799999999994,807.96,246.2,574.62,859.11,148.69,5992.9,28.0,15.430000000000001
78.27799999999999,491.76,889.15,142.168,707.79,844.07,266.1,7576.03,23.0,19.94
78.27800000000002,322.17999999999995,1039.74,273.6,760.43,751.79,275.44,7326.52,30.0,22.47
78.27799999999999,514.06,958.12,133.168,708.97,770.85,264.32,7580.27,27.0,20.07
34.63,677.3,818.44,224.60000000000002,606.48,1019.3299999999999,190.94,6252.12,26.0,19.44
38.024,342.80000000000007,845.5,275.2,561.7,789.61,166.62,5275.36,22.0,17.0
34.63,351.19999999999993,913.16,264.4,568.63,871.8,167.96,5742.07,26.0,16.92
78.27799999999999,517.37,1013.12,374.4,663.09,872.15,271.31,6849.13,24.0,23.78
34.828,122.61000000000001,749.03,263.6,589.08,657.54,230.16,5714.34,26.0,19.38
78.27799999999999,118.95999999999992,1039.31,210.0,707.2,739.21,231.59,6385.83,25.0,19.81
17.116,362.26,874.31,283.8,359.18,806.78,125.16999999999999,4132.95,25.0,13.32
34.63,194.16999999999996,841.14,248.60000000000002,641.08,742.98,175.92,5754.54,25.0,17.16
38.024,251.61,846.37,246.2,835.25,774.3,172.74,6187.62,26.0,17.95
34.63,413.69999999999993,940.66,248.60000000000002,521.91,775.18,175.01,6027.88,21.0,17.98
34.63,54.63000000000011,808.83,260.0,541.87,698.77,178.33,5865.16,24.0,17.14
40.532000000000004,109.36000000000001,903.56,245.2,670.46,734.73,170.15,6344.14,27.0,17.95
38.024,391.76,852.05,255.2,550.19,745.72,149.72,5668.12,28.0,15.62
38.024,133.14,860.34,271.8,532.14,643.57,147.63,5351.07,24.0,14.94
38.024,191.47000000000003,800.98,264.4,621.81,698.86,143.6,5908.67,24.0,15.13
34.63,339.65999999999997,781.34,271.8,503.05,763.58,174.59,5401.22,25.0,15.27
34.63,127.88,888.28,271.8,549.7,710.46,177.13,5488.01,27.0,14.79
34.63,247.95999999999992,767.37,255.2,623.56,766.24,176.4,6015.4,24.0,15.55
78.27799999999999,348.98,750.78,270.8,596.03,844.52,292.37,7306.62,25.0,21.77
78.27799999999999,164.34000000000003,855.1,287.4,610.81,752.22,289.84,7117.29,24.0,20.79
78.27800000000002,252.76999999999998,770.86,216.60000000000002,674.05,821.37,291.69,7931.51,27.0,21.37
60.260000000000005,652.66,888.28,477.2,777.4,763.46,392.57,6631.98,23.0,26.99
78.27800000000002,285.98,996.97,410.0,752.89,689.0399999999998,400.75,6661.66,26.0,25.2
78.27800000000002,480.29,968.16,336.0,793.06,727.11,385.25,7123.29,31.0,25.91
17.116,600.16,840.26,282.8,464.56,951.99,127.1,4994.33,27.0,13.9
38.024,352.34000000000003,850.3,271.8,497.58,857.49,126.95000000000002,5033.87,26.0,13.4
38.024,357.89,806.22,367.0,539.74,922.64,124.64999999999998,5505.48,26.0,13.129999999999999
38.024,419.87,804.03,294.2,515.05,780.6,121.56,5051.98,25.0,12.91
38.024,208.51999999999987,786.14,294.2,529.51,703.9900000000001,124.32,5216.4,22.0,13.129999999999999
38.024,238.36,830.66,271.8,538.74,740.4900000000001,119.70999999999998,5576.26,25.0,12.64
81.27600000000001,745.59,998.71,196.154,773.41,979.43,334.24,8763.05,25.0,24.04
81.27600000000001,389.61,894.39,196.154,877.96,861.91,330.23,8656.71,24.0,22.61
81.27600000000001,512.21,928.0,196.154,768.97,911.85,327.07,9602.03,26.0,23.44
38.024,568.84,768.24,259.6,564.41,861.41,144.8,5622.18,26.0,17.06
38.024,301.17999999999995,846.81,275.8,555.73,763.14,141.79,5594.85,22.0,17.67
38.024,328.22,855.1,246.2,879.46,816.55,137.74,6121.36,25.0,16.41
78.27799999999999,588.96,854.67,233.60000000000002,706.41,890.68,290.73,6825.35,32.0,21.92
78.27799999999999,401.5,838.08,270.8,653.83,779.05,297.23,7043.61,24.0,20.95
78.27800000000002,441.49000000000007,969.9,176.232,800.17,809.84,287.32,7456.93,24.0,21.1
17.116,432.23,739.43,262.8,529.42,780.92,188.77,5177.73,20.0,18.94
34.63,99.71000000000004,726.77,271.8,495.16,699.39,188.95,5352.57,22.0,17.58
34.63,128.28999999999996,617.65,231.6,633.38,751.65,185.33,5835.43,20.0,18.06
78.27800000000002,647.63,942.4,143.986,733.98,924.89,310.1,7998.74,27.0,20.74
78.27800000000002,334.82000000000005,780.03,143.986,568.49,840.73,295.44,8465.19,26.0,19.74
78.27800000000002,469.93000000000006,813.2,165.986,733.9,844.1,306.77,8685.51,29.0,20.61
62.112,789.13,811.45,269.088,597.11,1047.54,233.43,6998.77,26.0,20.06
64.714,538.49,872.13,142.168,479.82,965.61,230.5,7645.65,21.0,19.57
78.27800000000002,694.56,909.67,99.922,1098.65,1043.31,237.09,8308.73,24.0,20.52
78.27800000000002,652.76,959.86,217.79999999999998,684.68,1036.39,334.6,7533.4,25.0,23.02
38.75,541.13,910.54,196.154,791.95,978.03,328.8,8274.46,26.0,22.24
81.27600000000001,516.7,1055.02,196.154,718.3,933.71,336.77,8611.37,25.0,22.6
41.212,947.88,893.66,352.766,813.7,963.9,315.16,6469.25,24.67,25.75
78.27800000000002,743.94,931.05,266.8,703.62,933.42,324.51,7523.01,24.0,26.29
78.27800000000002,628.67,918.83,230.8,773.41,906.81,307.92,7289.38,26.0,26.22
117.4,784.18,1013.55,370.366,974.92,1025.92,345.87,7087.84,23.0,26.93
77.492,562.83,975.14,227.8,657.01,914.91,350.1,7725.97,26.0,26.54
91.06,514.44,924.51,226.2,1419.9499999999998,925.17,338.33,7824.35,27.0,26.02
9.974,695.47,890.9,429.0,628.63,821.75,266.73,5361.59,26.0,25.19
35.141999999999996,434.15,778.28,279.6,532.72,763.1,272.25,6198.13,28.0,24.57
62.112,369.89,848.56,399.8,401.85,766.26,322.29,6383.61,26.0,24.63
35.588,733.77,884.35,393.16599999999994,684.37,848.41,277.41,6153.92,23.0,24.81
78.27800000000002,565.75,836.33,240.0,626.05,834.42,282.44,7271.42,30.0,24.78
77.492,459.62,897.01,248.60000000000002,506.36,876.87,347.02,7829.4,21.0,25.97
13.956,586.22,1005.26,386.40000000000003,670.68,864.37,257.73,5483.04,29.0,22.41
62.112,386.72,965.54,325.0,596.71,849.51,266.74,6591.02,30.0,22.79
78.27800000000002,432.91999999999996,863.83,240.0,517.95,941.69,330.11,7227.84,27.0,24.19
13.642000000000001,677.9,811.02,182.522,565.82,914.14,201.99,5230.24,26.0,17.78
