soil,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
coloma,78.27800000000002,339.4879999999995,807.9599999999994,268.0,574.6200000000006,859.1099999999989,148.68999999999997,5992.899999999996,28.00000000000002,15.430000000000044
coloma,78.27800000000002,491.7599999999995,889.1499999999993,268.0,707.7900000000005,844.0699999999989,266.1,7576.029999999996,23.000000000000014,19.940000000000044
coloma,78.27800000000002,322.17999999999927,1039.7399999999993,268.0,760.4300000000005,751.7899999999987,275.44,7326.519999999997,30.00000000000002,22.470000000000038
coloma,78.27800000000002,514.0599999999995,958.1199999999993,268.0,708.9700000000006,770.8499999999989,264.32,7580.269999999997,27.00000000000002,20.070000000000043
coloma,78.27800000000002,677.2999999999995,818.4399999999994,268.0,606.4800000000006,1019.329999999999,190.93999999999997,6252.119999999996,26.000000000000018,19.440000000000044
coloma,78.27800000000002,342.7999999999995,845.4999999999993,268.0,561.7000000000006,789.6099999999989,166.61999999999998,5275.359999999996,22.000000000000014,17.000000000000043
coloma,78.27800000000002,351.19999999999936,913.1599999999993,268.0,568.6300000000006,871.7999999999988,167.95999999999998,5742.069999999996,26.000000000000018,16.920000000000044
coloma,78.27800000000002,517.3699999999994,1013.1199999999992,268.0,663.0900000000006,872.149999999999,271.31,6849.1299999999965,24.000000000000014,23.78000000000004
coloma,78.27800000000002,122.60999999999945,749.0299999999994,268.0,589.0800000000006,657.5399999999988,230.15999999999997,5714.3399999999965,26.000000000000018,19.38000000000004
coloma,78.27800000000002,118.95999999999935,1039.3099999999993,210.0,707.2000000000006,739.2099999999989,231.58999999999997,6385.829999999996,25.000000000000014,19.81000000000004
coloma,78.27800000000002,362.2599999999994,874.3099999999993,272.8,359.1800000000007,806.7799999999988,125.16999999999999,4132.949999999995,25.000000000000014,13.320000000000046
coloma,78.27800000000002,194.16999999999928,841.1399999999993,268.0,641.0800000000006,742.9799999999988,175.91999999999996,5754.539999999996,25.000000000000014,17.160000000000043
coloma,78.27800000000002,251.60999999999945,846.3699999999993,268.0,835.2500000000006,774.2999999999988,172.73999999999998,6187.619999999996,26.000000000000018,17.950000000000042
coloma,78.27800000000002,413.69999999999936,940.6599999999993,268.0,521.9100000000005,775.1799999999988,175.00999999999996,6027.8799999999965,21.00000000000001,17.980000000000043
coloma,78.27800000000002,54.62999999999931,808.8299999999995,268.0,541.8700000000006,698.7699999999988,178.32999999999998,5865.159999999996,24.000000000000014,17.140000000000043
coloma,78.27800000000002,109.35999999999933,903.5599999999993,268.0,670.4600000000006,734.7299999999989,170.14999999999998,6344.139999999997,27.00000000000002,17.950000000000042
coloma,78.27800000000002,391.7599999999994,852.0499999999993,268.0,550.1900000000006,745.7199999999989,149.71999999999997,5668.119999999996,28.00000000000002,15.620000000000044
coloma,78.27800000000002,133.13999999999942,860.3399999999993,289.0,532.1400000000006,643.5699999999989,147.62999999999997,5351.069999999996,24.000000000000014,14.940000000000046
coloma,78.27800000000002,191.46999999999935,800.9799999999994,268.0,621.8100000000005,698.8599999999989,143.59999999999997,5908.669999999996,24.000000000000014,15.130000000000045
coloma,78.27800000000002,339.6599999999994,781.3399999999995,268.0,503.05000000000064,763.5799999999989,174.58999999999997,5401.219999999997,25.000000000000014,15.270000000000044
coloma,78.27800000000002,127.87999999999943,888.2799999999993,268.0,549.7000000000006,710.4599999999989,177.12999999999997,5488.009999999997,27.00000000000002,14.790000000000044
coloma,78.27800000000002,247.95999999999947,767.3699999999994,268.0,623.5600000000005,766.2399999999989,176.39999999999998,6015.399999999996,24.000000000000014,15.550000000000045
coloma,78.27800000000002,348.97999999999945,750.7799999999994,268.0,596.0300000000005,844.5199999999988,292.37,7306.619999999996,25.000000000000014,21.77000000000004
coloma,78.27800000000002,164.33999999999935,855.0999999999993,268.0,610.8100000000005,752.2199999999989,289.84,7117.289999999996,24.000000000000014,20.790000000000042
coloma,78.27800000000002,252.7699999999993,770.8599999999994,230.39999999999998,674.0500000000005,821.3699999999989,291.69,7931.509999999997,27.00000000000002,21.370000000000044
coloma,78.27800000000002,652.6599999999994,888.2799999999993,230.39999999999998,777.4000000000005,763.4599999999988,392.57,6631.979999999996,23.000000000000014,26.990000000000038
coloma,78.27800000000002,285.97999999999945,996.9699999999993,230.40000000000003,752.8900000000006,689.0399999999987,400.75,6661.659999999996,26.000000000000018,25.20000000000004
coloma,78.27800000000002,480.28999999999945,968.1599999999993,230.39999999999998,793.0600000000005,727.1099999999989,385.25,7123.289999999996,31.00000000000002,25.91000000000004
coloma,78.27800000000002,600.1599999999994,840.2599999999993,285.6,464.5600000000006,951.9899999999989,127.09999999999997,4994.329999999996,27.00000000000002,13.900000000000047
coloma,78.27800000000002,352.33999999999946,850.2999999999993,272.8,497.5800000000006,857.4899999999989,126.94999999999996,5033.869999999996,26.000000000000018,13.400000000000045
coloma,78.27800000000002,357.8899999999994,806.2199999999995,367.0,539.7400000000006,922.639999999999,124.64999999999998,5505.479999999996,26.000000000000018,13.130000000000047
coloma,78.27800000000002,419.86999999999944,804.0299999999993,272.8,515.0500000000005,780.5999999999989,121.55999999999997,5051.979999999996,25.000000000000014,12.910000000000046
coloma,78.27800000000002,208.5199999999994,786.1399999999994,272.8,529.5100000000006,703.9899999999989,124.31999999999996,5216.399999999996,22.000000000000014,13.130000000000047
coloma,78.27800000000002,238.35999999999933,830.6599999999994,289.0,538.7400000000006,740.4899999999989,119.70999999999992,5576.259999999997,25.000000000000014,12.640000000000047
coloma,78.27800000000002,745.5899999999996,998.7099999999994,230.39999999999998,773.4100000000005,979.4299999999989,334.24,8763.049999999996,25.000000000000014,24.04000000000004
coloma,78.27800000000002,389.60999999999945,894.3899999999993,230.39999999999998,877.9600000000006,861.909999999999,330.23,8656.709999999995,24.000000000000014,22.61000000000004
coloma,78.27800000000002,512.2099999999995,927.9999999999993,230.39999999999998,768.9700000000006,911.849999999999,327.07,9602.029999999999,26.000000000000018,23.44000000000004
coloma,78.27800000000002,568.8399999999995,768.2399999999994,268.0,564.4100000000005,861.4099999999988,144.79999999999998,5622.179999999997,26.000000000000018,17.060000000000045
coloma,78.27800000000002,301.17999999999927,846.8099999999993,268.0,555.7300000000006,763.1399999999988,141.78999999999996,5594.849999999997,22.000000000000014,17.670000000000044
coloma,78.27800000000002,328.21999999999946,855.0999999999993,268.0,879.4600000000006,816.5499999999988,137.73999999999998,6121.359999999996,25.000000000000014,16.410000000000046
coloma,78.27800000000002,588.9599999999996,854.6699999999993,268.0,706.4100000000005,890.6799999999989,290.73,6825.349999999997,32.00000000000003,21.920000000000044
coloma,78.27800000000002,401.49999999999943,838.0799999999994,268.0,653.8300000000006,779.0499999999988,297.23,7043.609999999996,24.000000000000014,20.950000000000042
coloma,78.27800000000002,441.4899999999995,969.8999999999993,268.0,800.1700000000005,809.8399999999989,287.32,7456.929999999997,24.000000000000014,21.100000000000044
coloma,78.27800000000002,432.22999999999945,739.4299999999994,268.0,529.4200000000005,780.9199999999987,188.76999999999998,5177.729999999996,20.00000000000001,18.940000000000044
coloma,78.27800000000002,99.70999999999935,726.7699999999994,268.0,495.16000000000065,699.3899999999987,188.94999999999996,5352.569999999996,22.000000000000014,17.58000000000004
coloma,78.27800000000002,128.28999999999928,617.6499999999994,268.0,633.3800000000006,751.6499999999987,185.32999999999998,5835.429999999997,20.00000000000001,18.06000000000004
coloma,78.27800000000002,647.6299999999994,942.3999999999993,230.40000000000003,733.9800000000006,924.889999999999,310.1,7998.739999999996,27.00000000000002,20.74000000000004
