soil,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
coloma,3.7725072,377.75104,953.58484,28.054808,426.13007,610.6658,354.92206,7374.422,30.840588,20.080667
coloma,3.8892033,391.2518,965.1224,28.283047,429.12967,641.3642,354.4711,7407.3447,30.361511,20.458738
coloma,3.2470677,342.77032,948.38715,24.38695,368.4523,552.61444,348.2336,7451.388,31.125292,19.42145
coloma,3.574712,367.83148,957.17096,26.39477,400.0251,597.3738,351.68967,7429.159,30.756422,19.958767
coloma,3.9672875,394.5015,958.22644,29.007568,439.27496,640.7661,355.5951,7360.2866,30.47629,20.448904
coloma,4.4140425,421.90073,964.0504,31.821655,483.793,690.5703,359.42184,7312.5195,30.157461,20.984749
coloma,3.994044,394.3815,957.5007,29.31287,444.9781,640.10046,356.22174,7351.8867,30.56978,20.422213
coloma,3.7855923,383.90912,959.86536,27.59775,416.47162,628.50885,352.55875,7397.2954,30.441933,20.300074
coloma,3.8039947,380.07642,952.85693,28.134613,425.4511,616.4809,354.38428,7362.7104,30.737522,20.140709
coloma,3.760331,380.39493,946.72284,27.263002,406.05295,617.0511,349.87512,7342.7656,30.503616,20.141724
coloma,4.4113755,420.01407,957.6084,32.1046,487.6204,681.20734,359.99823,7279.438,30.367098,20.861668
coloma,4.0213456,395.54602,958.41034,29.492407,447.92822,643.3428,356.60806,7351.323,30.55039,20.450193
coloma,3.8915596,387.17285,957.66974,28.67718,435.67712,628.3993,355.6859,7371.586,30.656797,20.28251
coloma,4.396004,423.01065,968.09247,31.53398,479.79507,694.9735,358.86868,7335.1826,30.043856,21.040148
coloma,4.058512,397.89325,960.0951,29.68895,451.23172,649.006,356.8264,7353.0444,30.491924,20.516193
coloma,3.751456,377.3889,955.79877,27.802963,422.3809,611.5446,354.31927,7387.8545,30.78713,20.089838
coloma,3.8983371,387.31082,953.6274,28.838339,437.444,624.68036,355.8636,7349.9727,30.73826,20.236256
coloma,4.220451,408.34647,961.03375,30.786858,468.80066,665.1237,358.51364,7328.5483,30.425339,20.686375
coloma,4.1974683,407.46646,962.5551,30.589306,466.04672,664.17523,358.4695,7342.4683,30.404203,20.686481
coloma,4.1625066,404.8871,958.3435,30.405174,461.5267,657.89636,357.87772,7327.279,30.457964,20.617493
coloma,3.8982744,386.38702,954.2412,28.831053,437.6639,625.4297,355.76172,7352.322,30.739466,20.24031
coloma,4.1541305,404.8167,961.7945,30.26843,460.41385,660.20557,357.88382,7346.9785,30.404902,20.651031
coloma,3.65674,372.86115,957.78186,26.923512,407.3657,608.13605,352.3683,7414.243,30.658037,20.074526
coloma,3.7157292,376.289,959.09546,27.280712,413.22086,615.44867,352.7582,7410.124,30.615822,20.156136
coloma,3.4335966,356.7554,955.3233,25.522097,386.47385,579.4296,350.4913,7449.21,30.885252,19.749916
coloma,3.6722925,378.24078,955.38934,26.747967,399.48297,620.54126,350.33322,7389.6035,30.38002,20.185673
coloma,3.3688061,352.21793,948.5096,24.951265,374.1428,574.6101,347.75815,7420.614,30.848284,19.671993
coloma,3.0503814,328.0937,941.3786,23.007978,345.03378,528.4078,345.07672,7457.5845,31.24138,19.134333
coloma,4.200477,407.75183,955.90344,30.739645,466.3039,658.9325,358.3519,7308.7793,30.491732,20.631475
coloma,4.219231,408.2121,957.6256,30.864443,469.10358,661.5719,358.6543,7314.1104,30.485613,20.65393
coloma,4.1016784,405.46323,936.2646,29.30958,430.11075,650.826,350.99033,7228.412,30.190239,20.488514
coloma,4.3595753,417.5511,960.0236,31.710188,482.40463,677.838,359.88947,7303.1636,30.359758,20.834808
coloma,4.54794,429.67966,966.252,32.771614,500.33347,702.88196,361.3096,7302.6987,30.134926,21.112928
coloma,4.2475963,410.36505,961.26556,30.987656,472.2956,667.0647,359.10196,7327.978,30.43011,20.717043
coloma,3.4964108,367.73996,962.73175,25.58647,385.45346,601.8663,349.70267,7466.0415,30.51332,20.00992
coloma,3.524735,366.5955,962.1977,25.89501,391.8183,600.3996,350.75186,7460.849,30.605148,19.994633
coloma,3.3159158,352.83826,961.12756,24.511562,370.98346,575.50354,348.6508,7498.477,30.758629,19.71824
coloma,4.1252165,403.4104,957.70917,30.171007,457.63538,653.45087,357.6109,7331.0767,30.476086,20.572878
coloma,4.3900785,420.74335,965.4183,31.665699,482.0938,688.8091,359.37903,7323.426,30.164028,20.96536
coloma,4.093004,401.0728,961.453,29.936142,455.89407,652.36304,357.65396,7355.2666,30.486834,20.555721
coloma,3.2284365,341.1992,943.00006,24.342417,366.18542,546.9571,348.17264,7429.0527,31.181091,19.357027
coloma,3.773326,381.59897,959.44495,27.61674,417.6664,623.84955,353.19055,7399.54,30.522934,20.253004
