B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
45.88107873217956,390.991448382777,807.96,299.0382008560193,574.62,859.11,148.69,5992.9,28.0,15.43
46.53916811293506,491.76,889.15,250.98663728292945,707.79,844.07,266.1,7576.03,23.0,19.94
53.17197653927008,322.18,1039.74,325.4863416757332,760.43,751.79,275.44,7326.52,30.0,22.47
49.591418954497556,514.06,958.12,275.2522844055371,708.97,770.85,264.32,7580.27,27.0,20.07
42.720431734786914,677.3,818.44,253.22161056566853,606.48,1019.33,190.94,6252.12,26.0,19.44
39.12986054286395,342.8,845.5,257.3047405789632,561.7,789.61,166.62,5275.36,22.0,17.0
43.56299104640773,351.2,913.16,289.2288529102961,568.63,871.8,167.96,5742.07,26.0,16.92
43.909295462936115,517.37,1013.12,257.13311136599566,663.09,872.15,271.31,6849.13,24.0,23.78
45.76135569416128,122.61,749.03,315.3104559519055,589.08,657.54,230.16,5714.34,26.0,19.38
40.988214704159915,118.96,1039.31,210.0,707.2,739.21,231.59,6385.83,25.0,19.81
36.370340476233025,362.26,874.31,269.9496449906238,359.18,806.78,125.17,4132.95,25.0,13.32
45.04727714121108,194.17,841.14,300.7026855124059,641.08,742.98,175.92,5754.54,25.0,17.16
49.066390338027446,251.61,846.37,305.7226027405235,835.25,774.3,172.74,6187.62,26.0,17.95
38.56119525397058,413.7,940.66,240.74710711822803,521.91,775.18,175.01,6027.88,21.0,17.98
44.07925733364529,54.63,808.83,310.2834792351801,541.87,698.77,178.33,5865.16,24.0,17.14
48.75518254819184,109.36,903.56,329.6865762562748,670.46,734.73,170.15,6344.14,27.0,17.95
44.63984764756023,391.76,852.05,294.0334810268112,550.19,745.72,149.72,5668.12,28.0,15.62
42.2769552759184,133.14,860.34,294.7580591183245,532.14,643.57,147.63,5351.07,24.0,14.94
44.42377488866377,191.47,800.98,291.80125088936245,621.81,698.86,143.6,5908.67,24.0,15.13
41.688492743590956,339.66,781.34,276.94347925920005,503.05,763.58,174.59,5401.22,25.0,15.27
45.78353577723958,127.88,888.28,318.6677128723576,549.7,710.46,177.13,5488.01,27.0,14.79
44.631866728826694,247.96,767.37,285.4675382088172,623.56,766.24,176.4,6015.4,24.0,15.55
47.1203824331089,348.98,750.78,285.90480420158417,596.03,844.52,292.37,7306.62,25.0,21.77
47.44138142097981,164.34,855.1,298.7294542945412,610.81,752.22,289.84,7117.29,24.0,20.79
52.101029120904784,252.77,770.86,315.23778287571787,674.05,821.37,291.69,7931.51,27.0,21.37
44.030195929601305,652.66,888.28,226.8250514994548,777.4,763.46,392.57,6631.98,23.0,26.99
49.306466748019204,285.98,996.97,293.8595373897745,752.89,689.04,400.75,6661.66,26.0,25.2
53.42303828792804,480.29,968.16,309.2456553720455,793.06,727.11,385.25,7123.29,31.0,25.91
39.76865914546488,600.16,840.26,260.88458757676665,464.56,951.99,127.1,4994.33,27.0,13.9
41.38418108440493,352.34,850.3,284.42642094050103,497.58,857.49,126.95,5033.87,26.0,13.4
48.37905126456717,357.89,806.22,367.0,539.74,922.64,124.65,5505.48,26.0,13.13
40.41790834901791,419.87,804.03,265.408937017971,515.05,780.6,121.56,5051.98,25.0,12.91
39.990408802087686,208.52,786.14,270.52412943495733,529.51,703.99,124.32,5216.4,22.0,13.13
43.25512324656437,238.36,830.66,290.2809908683797,538.74,740.49,119.71,5576.26,25.0,12.64
49.67309556132666,745.59,998.71,239.30727979625487,773.41,979.43,334.24,8763.05,25.0,24.04
53.148961049720484,389.61,894.39,277.6227059101533,877.96,861.91,330.23,8656.71,24.0,22.61
54.16933169524884,512.21,928.0,279.08358120884475,768.97,911.85,327.07,9602.03,26.0,23.44
41.53049506616881,568.84,768.24,261.100735283373,564.41,861.41,144.8,5622.18,26.0,17.06
39.5973511133767,301.18,846.81,265.0610195947899,555.73,763.14,141.79,5594.85,22.0,17.67
48.12592769010993,328.22,855.1,289.21805463507127,879.46,816.55,137.74,6121.36,25.0,16.41
51.632734925038946,588.96,854.67,306.29696637591144,706.41,890.68,290.73,6825.35,32.0,21.92
46.24104455883122,401.5,838.08,267.04574887859286,653.83,779.05,297.23,7043.61,24.0,20.95
48.684747030936734,441.49,969.9,264.8051680710984,800.17,809.84,287.32,7456.93,24.0,21.1
36.03428679960207,432.23,739.43,231.17921105641545,529.42,780.92,188.77,5177.73,20.0,18.94
40.37121512433481,99.71,726.77,287.98683955448536,495.16,699.39,188.95,5352.57,22.0,17.58
41.60324084771676,128.29,617.65,275.2206996060615,633.38,751.65,185.33,5835.43,20.0,18.06
50.37137105284383,647.63,942.4,261.50230944328825,733.98,924.89,310.1,7998.74,27.0,20.74
50.705964723221214,334.82,780.03,294.6241196193674,568.49,840.73,295.44,8465.19,26.0,19.74
55.039431542138644,469.93,813.2,301.23669498524794,733.9,844.1,306.77,8685.51,29.0,20.61
43.77968652179001,789.13,811.45,238.8102706544591,597.11,1047.54,233.43,6998.77,26.0,20.06
41.069930805057865,538.49,872.13,232.4553424144712,479.82,965.61,230.5,7645.65,21.0,19.57
52.85306425544168,694.56,909.67,245.34746364498022,1098.65,1043.31,237.09,8308.73,24.0,20.52
46.66162061540446,652.76,959.86,249.11212366982812,684.68,1036.39,334.6,7533.4,25.0,23.02
38.75,541.13,910.54,221.0140842677655,791.95,978.03,328.8,8274.46,26.0,22.24
50.48511293832756,516.7,1055.02,266.0772681207555,718.3,933.71,336.77,8611.37,25.0,22.6
42.923291572486974,947.88,893.66,207.57441582273418,813.7,963.9,315.16,6469.25,24.67,25.75
44.49485319433957,743.94,931.05,230.78291091748326,703.62,933.42,324.51,7523.01,24.0,26.29
47.375517162597575,628.67,918.83,262.10930232484384,773.41,906.81,307.92,7289.38,26.0,26.22
117.4,784.18,1013.55,505.96478360150326,974.92,1025.92,345.87,7087.84,23.0,26.93
47.4534084543732,562.83,975.14,268.74459546247243,657.01,914.91,350.1,7725.97,26.0,26.54
91.06,514.44,924.51,416.64661165678683,1419.95,925.17,338.33,7824.35,27.0,26.02
40.24298200277602,695.47,890.9,245.07319030414806,628.63,821.75,266.73,5361.59,26.0,25.19
44.65900800834248,434.15,778.28,295.0603061958745,532.72,763.1,272.25,6198.13,28.0,24.57
42.39453061116511,369.89,848.56,284.6751315122387,401.85,766.26,322.29,6383.61,26.0,24.63
40.236728865130004,733.77,884.35,219.61476367768415,684.37,848.41,277.41,6153.92,23.0,24.81
