soil,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
coloma,75.4224342756321,353.06804270305946,807.96,251.99562079670838,574.62,859.11,148.69,5992.9,28.0,15.43
coloma,86.1038217286101,491.76,889.15,245.34891288861087,707.79,844.07,266.1,7576.03,23.0,19.94
coloma,82.67847772864019,322.18,1039.74,263.15074063769646,760.43,751.79,275.44,7326.52,30.0,22.47
coloma,84.84852738479093,514.06,958.12,238.19193077535073,708.97,770.85,264.32,7580.27,27.0,20.07
coloma,78.22870959309951,677.3,818.44,226.43905052720066,606.48,1019.33,190.94,6252.12,26.0,19.44
coloma,73.60791763012949,342.8,845.5,255.0032300183189,561.7,789.61,166.62,5275.36,22.0,17.0
coloma,74.49233793124,351.2,913.16,254.70356918936784,568.63,871.8,167.96,5742.07,26.0,16.92
coloma,81.13686117499003,517.37,1013.12,246.13461594329425,663.09,872.15,271.31,6849.13,24.0,23.78
coloma,73.94336291874525,122.61,749.03,280.79241269832374,589.08,657.54,230.16,5714.34,26.0,19.38
coloma,79.58666936956884,118.96,1039.31,210.0,707.2,739.21,231.59,6385.83,25.0,19.81
coloma,64.56005794903503,362.26,874.31,243.70028761244993,359.18,806.78,125.17,4132.95,25.0,13.32
coloma,75.7331799722816,194.17,841.14,271.7285280906867,641.08,742.98,175.92,5754.54,25.0,17.16
coloma,80.89313986737433,251.61,846.37,270.7288973870473,835.25,774.3,172.74,6187.62,26.0,17.95
coloma,76.40720581639363,413.7,940.66,244.2654314597632,521.91,775.18,175.01,6027.88,21.0,17.98
coloma,74.31654813030859,54.63,808.83,284.43385924852396,541.87,698.77,178.33,5865.16,24.0,17.14
coloma,77.71917505872493,109.36,903.56,280.4980960714282,670.46,734.73,170.15,6344.14,27.0,17.95
coloma,73.57845633434212,391.76,852.05,242.78436911189948,550.19,745.72,149.72,5668.12,28.0,15.62
coloma,72.36250564671471,133.14,860.34,269.6843397333926,532.14,643.57,147.63,5351.07,24.0,14.94
coloma,76.65637014775366,191.47,800.98,266.8900315699566,621.81,698.86,143.6,5908.67,24.0,15.13
coloma,72.52730112323799,339.66,781.34,251.07564264488616,503.05,763.58,174.59,5401.22,25.0,15.27
coloma,72.39433473781699,127.88,888.28,273.0230326387149,549.7,710.46,177.13,5488.01,27.0,14.79
coloma,77.38849489402466,247.96,767.37,264.7660256653739,623.56,766.24,176.4,6015.4,24.0,15.55
coloma,81.7822769551559,348.98,750.78,263.72500893922506,596.03,844.52,292.37,7306.62,25.0,21.77
coloma,80.94491773212043,164.34,855.1,280.7392808103129,610.81,752.22,289.84,7117.29,24.0,20.79
coloma,85.02856360181686,252.77,770.86,273.89117241344456,674.05,821.37,291.69,7931.51,27.0,21.37
coloma,82.89870726549546,652.66,888.28,239.0473947341666,777.4,763.46,392.57,6631.98,23.0,26.99
coloma,80.6377290451104,285.98,996.97,275.3393901799195,752.89,689.04,400.75,6661.66,26.0,25.2
coloma,82.34961143171635,480.29,968.16,253.15861270611725,793.06,727.11,385.25,7123.29,31.0,25.91
coloma,70.34154999901023,600.16,840.26,222.85659195213213,464.56,951.99,127.1,4994.33,27.0,13.9
coloma,70.68917930510005,352.34,850.3,248.8986922858859,497.58,857.49,126.95,5033.87,26.0,13.4
coloma,72.48906598753595,357.89,806.22,367.0,539.74,922.64,124.65,5505.48,26.0,13.13
coloma,71.72428226768399,419.87,804.03,238.4189881916352,515.05,780.6,121.56,5051.98,25.0,12.91
coloma,72.93962214395773,208.52,786.14,261.81709804437486,529.51,703.99,124.32,5216.4,22.0,13.13
coloma,73.85457793177822,238.36,830.66,257.3310615157306,538.74,740.49,119.71,5576.26,25.0,12.64
coloma,91.99582906848133,745.59,998.71,225.347657463967,773.41,979.43,334.24,8763.05,25.0,24.04
coloma,92.96769493385041,389.61,894.39,265.50036478473436,877.96,861.91,330.23,8656.71,24.0,22.61
coloma,94.67913740045891,512.21,928.0,248.260089039886,768.97,911.85,327.07,9602.03,26.0,23.44
coloma,74.71082360540447,568.84,768.24,229.48020787029054,564.41,861.41,144.8,5622.18,26.0,17.06
coloma,74.5905913326809,301.18,846.81,257.84595280324334,555.73,763.14,141.79,5594.85,22.0,17.67
coloma,82.13225198558847,328.22,855.1,261.75772788212254,879.46,816.55,137.74,6121.36,25.0,16.41
coloma,80.14452912485662,588.96,854.67,238.01736884417457,706.41,890.68,290.73,6825.35,32.0,21.92
coloma,82.17584564956972,401.5,838.08,255.64763560467972,653.83,779.05,297.23,7043.61,24.0,20.95
coloma,86.54420390422148,441.49,969.9,253.4736066608062,800.17,809.84,287.32,7456.93,24.0,21.1
coloma,73.37378716672174,432.23,739.43,247.98979689516642,529.42,780.92,188.77,5177.73,20.0,18.94
coloma,72.0626179902801,99.71,726.77,281.142528473689,495.16,699.39,188.95,5352.57,22.0,17.58
coloma,77.46217229442647,128.29,617.65,284.50282942095976,633.38,751.65,185.33,5835.43,20.0,18.06
coloma,87.57935325392619,647.63,942.4,230.91803910574467,733.98,924.89,310.1,7998.74,27.0,20.74
coloma,86.24649980889268,334.82,780.03,259.8996331576446,568.49,840.73,295.44,8465.19,26.0,19.74
coloma,89.56018204961414,469.93,813.2,248.13472327115554,733.9,844.1,306.77,8685.51,29.0,20.61
coloma,81.65431780287615,789.13,811.45,215.1283172776146,597.11,1047.54,233.43,6998.77,26.0,20.06
coloma,83.04606642469679,538.49,872.13,237.41923890036833,479.82,965.61,230.5,7645.65,21.0,19.57
coloma,96.60135683083222,694.56,909.67,236.75839049910167,1098.65,1043.31,237.09,8308.73,24.0,20.52
coloma,84.97476122930189,652.76,959.86,237.83915714832708,684.68,1036.39,334.6,7533.4,25.0,23.02
coloma,38.75,541.13,910.54,286.2657203376359,791.95,978.03,328.8,8274.46,26.0,22.24
coloma,89.75883200149055,516.7,1055.02,247.49555260664897,718.3,933.71,336.77,8611.37,25.0,22.6
