B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
35.4303374043989,412.7096338547244,807.96,286.425832331988,574.62,859.11,148.69,5992.9,28.0,15.43
41.09677895697351,491.76,889.15,255.2793525174331,707.79,844.07,266.1,7576.03,23.0,19.94
45.00947949192349,322.18,1039.74,322.4689108813716,760.43,751.79,275.44,7326.52,30.0,22.47
41.957018389067535,514.06,958.12,273.0574130530489,708.97,770.85,264.32,7580.27,27.0,20.07
33.45666740505736,677.3,818.44,243.09798304978037,606.48,1019.33,190.94,6252.12,26.0,19.44
30.85883244895181,342.8,845.5,254.9215339847292,561.7,789.61,166.62,5275.36,22.0,17.0
34.11557175926606,351.2,913.16,282.85433758226895,568.63,871.8,167.96,5742.07,26.0,16.92
37.27142740984018,517.37,1013.12,256.4143936034842,663.09,872.15,271.31,6849.13,24.0,23.78
36.71492574747237,122.61,749.03,314.0616674713367,589.08,657.54,230.16,5714.34,26.0,19.38
35.41801850566423,118.96,1039.31,210.0,707.2,739.21,231.59,6385.83,25.0,19.81
23.1196443610635,362.26,874.31,255.85827635798242,359.18,806.78,125.17,4132.95,25.0,13.32
36.95667893891157,194.17,841.14,299.6567662190722,641.08,742.98,175.92,5754.54,25.0,17.16
42.18547201166631,251.61,846.37,305.4566682722566,835.25,774.3,172.74,6187.62,26.0,17.95
31.85272911142345,413.7,940.66,241.19423607185232,521.91,775.18,175.01,6027.88,21.0,17.98
36.836367107225826,54.63,808.83,313.33657633526894,541.87,698.77,178.33,5865.16,24.0,17.14
41.581799650096805,109.36,903.56,330.22936959597024,670.46,734.73,170.15,6344.14,27.0,17.95
33.61608072271439,391.76,852.05,283.1285018532275,550.19,745.72,149.72,5668.12,28.0,15.62
33.521657472759976,133.14,860.34,293.44395748705597,532.14,643.57,147.63,5351.07,24.0,14.94
37.079522628405755,191.47,800.98,292.48056966862794,621.81,698.86,143.6,5908.67,24.0,15.13
31.191539993161577,339.66,781.34,270.12693443141063,503.05,763.58,174.59,5401.22,25.0,15.27
35.26419754279525,127.88,888.28,313.83271720998863,549.7,710.46,177.13,5488.01,27.0,14.79
36.81151410796921,247.96,767.37,285.6295375730858,623.56,766.24,176.4,6015.4,24.0,15.55
40.36780785949609,348.98,750.78,288.7384271674281,596.03,844.52,292.37,7306.62,25.0,21.77
41.346954286661976,164.34,855.1,305.8311440705644,610.81,752.22,289.84,7117.29,24.0,20.79
46.134100172487415,252.77,770.86,320.2933855974853,674.05,821.37,291.69,7931.51,27.0,21.37
35.8787186465507,652.66,888.28,225.14827038441103,777.4,763.46,392.57,6631.98,23.0,26.99
40.36590131845881,285.98,996.97,294.97594945376443,752.89,689.04,400.75,6661.66,26.0,25.2
42.65026333567431,480.29,968.16,301.3758933165275,793.06,727.11,385.25,7123.29,31.0,25.91
26.826398575425344,600.16,840.26,243.62049391455187,464.56,951.99,127.1,4994.33,27.0,13.9
30.03067088861024,352.34,850.3,274.06063112940524,497.58,857.49,126.95,5033.87,26.0,13.4
37.569309399934035,357.89,806.22,367.0,539.74,922.64,124.65,5505.48,26.0,13.13
29.28935682502241,419.87,804.03,255.1689805096858,515.05,780.6,121.56,5051.98,25.0,12.91
31.676855822060432,208.52,786.14,269.8911170318952,529.51,703.99,124.32,5216.4,22.0,13.13
33.94873659991055,238.36,830.66,286.1394050896156,538.74,740.49,119.71,5576.26,25.0,12.64
44.61036976385656,745.59,998.71,241.4597354632149,773.41,979.43,334.24,8763.05,25.0,24.04
49.99524787436235,389.61,894.39,288.8781410683854,877.96,861.91,330.23,8656.71,24.0,22.61
51.143754644788174,512.21,928.0,288.1221424423288,768.97,911.85,327.07,9602.03,26.0,23.44
31.409740743555425,568.84,768.24,249.7784071754178,564.41,861.41,144.8,5622.18,26.0,17.06
32.76451583006682,301.18,846.81,264.90517726424025,555.73,763.14,141.79,5594.85,22.0,17.67
41.751891560263914,328.22,855.1,288.6849866712139,879.46,816.55,137.74,6121.36,25.0,16.41
39.80051533171127,588.96,854.67,292.5647426975436,706.41,890.68,290.73,6825.35,32.0,21.92
39.06747848736904,401.5,838.08,269.2393691950567,653.83,779.05,297.23,7043.61,24.0,20.95
42.96903573163993,441.49,969.9,268.90445689412707,800.17,809.84,287.32,7456.93,24.0,21.1
28.255480694168597,432.23,739.43,229.57871931979537,529.42,780.92,188.77,5177.73,20.0,18.94
32.735549642150666,99.71,726.77,290.66924497510945,495.16,699.39,188.95,5352.57,22.0,17.58
36.705290069376915,128.29,617.65,283.6117524930643,633.38,751.65,185.33,5835.43,20.0,18.06
42.519199171037336,647.63,942.4,258.79879647830944,733.98,924.89,310.1,7998.74,27.0,20.74
44.93105462784205,334.82,780.03,300.6526344953819,568.49,840.73,295.44,8465.19,26.0,19.74
48.256320854680716,469.93,813.2,302.2920534473565,733.9,844.1,306.77,8685.51,29.0,20.61
34.798085562232295,789.13,811.45,229.55439202922184,597.11,1047.54,233.43,6998.77,26.0,20.06
36.35417280448157,538.49,872.13,237.3868827479075,479.82,965.61,230.5,7645.65,21.0,19.57
49.9968053352523,694.56,909.67,250.3084884235673,1098.65,1043.31,237.09,8308.73,24.0,20.52
39.028470982385564,652.76,959.86,247.35156823479423,684.68,1036.39,334.6,7533.4,25.0,23.02
38.75,541.13,910.54,251.82292784075227,791.95,978.03,328.8,8274.46,26.0,22.24
45.36538969532257,516.7,1055.02,271.6651322026336,718.3,933.71,336.77,8611.37,25.0,22.6
33.79212213400518,947.88,893.66,196.90048912957934,813.7,963.9,315.16,6469.25,24.67,25.75
38.11715734353775,743.94,931.05,228.99293588946432,703.62,933.42,324.51,7523.01,24.0,26.29
40.599773327144895,628.67,918.83,259.3336706225738,773.41,906.81,307.92,7289.38,26.0,26.22
117.4,784.18,1013.55,484.84635864304835,974.92,1025.92,345.87,7087.84,23.0,26.93
40.57157509682553,562.83,975.14,268.30919369236005,657.01,914.91,350.1,7725.97,26.0,26.54
91.06,514.44,924.51,416.98882255203193,1419.95,925.17,338.33,7824.35,27.0,26.02
29.26808011731466,695.47,890.9,231.39495242976528,628.63,821.75,266.73,5361.59,26.0,25.19
34.704849472283776,434.15,778.28,286.75529005505257,532.72,763.1,272.25,6198.13,28.0,24.57
32.57706247655277,369.89,848.56,280.37617821870003,401.85,766.26,322.29,6383.61,26.0,24.63
32.11797622322998,733.77,884.35,213.29329016887328,684.37,848.41,277.41,6153.92,23.0,24.81
39.94538910055584,565.75,836.33,288.2629720479782,626.05,834.42,282.44,7271.42,30.0,24.78
37.818502664375025,459.62,897.01,251.15580133445386,506.36,876.87,347.02,7829.4,21.0,25.97
32.59355640630472,586.22,1005.26,265.4698285111136,670.68,864.37,257.73,5483.04,29.0,22.41
38.478760843458325,386.72,965.54,309.09419188158097,596.71,849.51,266.74,6591.02,30.0,22.79
38.00583081463951,432.92,863.83,288.892329395807,517.95,941.69,330.11,7227.84,27.0,24.19
28.100023413486326,677.9,811.02,229.12173368130266,565.82,914.14,201.99,5230.24,26.0,17.78
34.49690586244631,434.74,706.26,281.0227048574162,490.29,891.32,200.48,6289.37,27.0,18.67
30.866522298396582,273.98,811.45,272.42346403315855,344.97,870.62,222.5,6060.42,23.0,16.66
29.01295315952067,691.17,776.97,234.79186713632026,596.07,954.5,189.77,5230.21,27.0,16.92
34.46622622337402,449.5,763.44,271.9984980342093,504.49,921.37,197.12,6367.78,26.0,17.21
31.683504883066398,232.68,694.47,291.30918708496824,331.79,876.92,212.3,5977.22,25.0,16.01
36.241756987269845,695.19,745.98,238.1453616140354,827.73,831.87,274.91,6119.4,26.0,22.69
37.544846080379486,516.09,701.67,258.9100551226338,560.52,803.75,285.13,7269.88,24.5,22.7
35.04145169849567,417.71,848.56,274.2743518997629,406.09,786.77,320.64,7129.97,26.0,21.62
37.933493231567006,1064.81,879.98,224.64764707517548,735.03,1110.07,361.19,7718.29,30.0,29.31
46.47648456084284,788.12,904.43,252.74175848092287,651.48,1103.82,376.44,9751.96,26.0,27.67
45.43348692079478,789.13,869.07,266.5332754690368,503.49,1109.74,441.55,10056.16,29.0,27.45
32.23037242065769,430.22,782.64,261.24118831237877,594.24,811.45,219.15,5524.23,25.0,17.96
36.76075283434425,355.26,756.02,295.43013456050517,488.62,760.96,222.99,6659.24,28.0,18.24
33.68861387812939,229.96,693.16,281.23173115086604,303.65,784.74,256.15,6838.21,23.0,17.4
37.98560261365264,885.19,768.24,210.9290721771769,733.52,1004.9,308.49,7646.83,24.0,25.0
35.63506074107297,821.98,793.12,207.6174013134114,641.42,890.36,270.19,7396.96,23.0,23.67
29.845577289282083,674.37,1048.91,212.00632981270485,311.04,884.25,321.0,7394.19,22.0,22.85
40.3227562651819,393.27,755.15,293.30110541888496,557.17,850.23,235.6,7365.88,27.0,19.43
115.17,387.79,727.65,534.239000645135,733.16,801.5,214.61,7642.52,26.0,18.85
36.610196618171166,340.49,888.71,307.67330129402876,291.64,768.85,247.73,7438.97,30.0,17.49
40.27816559089056,460.26,799.23,304.1879635922744,626.38,1015.95,372.87,7161.51,30.0,23.47
38.94400091651948,472.77,858.16,292.9543087853923,588.61,915.34,334.44,7117.76,29.0,23.29
63.923349215967114,355.94,752.09,326.1687195142398,1880.61,917.5,391.2,7082.38,28.0,21.44
39.911692144367365,383.13,1339.62,316.6788774516687,542.79,828.3,229.52,7175.86,32.0,18.93
43.817052962134596,963.57,1222.64,248.7441138676261,815.09,1093.82,585.88,8928.42,30.0,39.65
54.02248560220739,738.5,226.87,296.20821816759815,1265.08,1011.7,674.29,8396.81,31.0,38.06
35.823329538513384,725.67,846.81,257.28069471482786,623.45,1338.83,422.09,7076.99,23.0,45.3
40.53778096899103,1070.2,813.64,265.07562568316837,702.91,1410.1,440.62,8172.89,30.0,52.46
44.41302333159616,727.42,760.38,281.1099143007482,910.15,1325.36,495.57,7738.6,25.0,49.31
33.106291561506694,235.0,824.99,295.96521736966827,438.42,877.48,163.59,5771.09,25.0,18.11
34.263420649032675,397.31,983.43,275.58281595697395,439.76,857.39,167.24,6564.19,25.0,20.08
38.22648309531017,363.9,740.74,301.06133630234916,614.79,840.47,186.0,6332.21,28.0,19.56
40.342417616369616,322.09,928.44,309.9747423360742,537.18,1074.7,356.97,7426.08,27.0,23.7
41.74352877901924,680.88,796.18,264.4765882751233,600.92,1097.21,373.57,8441.71,26.5,27.78
46.1740396148766,546.13,797.92,284.37327327568994,659.43,1153.04,441.8,9030.87,26.0,26.5
46.3572110561421,1060.05,41.62,260.77148810272286,738.76,1400.25,589.63,9477.76,31.0,37.8
46.10978463421043,1485.94,1159.34,172.39082273284464,836.55,1462.6,610.55,11015.62,26.0,43.48
48.67895367805355,1403.82,199.89,198.61977698911463,884.15,1463.04,719.02,10835.64,28.0,41.74
38.64033731782283,520.79,763.44,275.56220685700873,593.45,934.3,360.24,7309.47,27.0,23.87
43.1128002138095,766.23,883.48,280.48214961313533,662.07,994.85,376.61,8387.49,32.0,27.81
41.02914654402754,675.47,887.84,255.29237705688305,624.03,995.81,451.2,8406.11,26.0,28.68
39.126433504641575,456.74,935.42,283.4867970915885,519.06,926.73,397.24,7732.08,27.0,24.12
44.62870625386334,637.22,919.27,271.3815029312142,589.68,971.9,408.76,9201.6,27.0,27.43
44.39156436108412,531.14,921.45,299.52640528229176,469.94,992.87,494.9,9329.99,30.0,26.39
37.95793826285924,606.88,861.21,181.0,639.43,1168.39,429.37,8463.83,27.0,24.3
43.91740131643328,914.54,764.75,237.84470222980093,635.4,1179.06,439.14,9517.67,27.0,28.05
84.11302938087638,665.76,769.99,277.0,2726.35,1187.17,524.49,9608.67,25.0,26.02
34.79208435403386,317.24,778.28,232.0,475.7,947.3,389.06,7326.43,28.0,23.42
45.53153094775875,504.93,886.97,350.0,517.02,988.64,391.5,8520.9,30.0,26.58
53.33325834730463,463.71,816.26,179.0,1447.78,982.75,474.47,8650.37,27.0,25.95
54.79521430630374,1521.61,303.69,287.0,1080.08,1668.02,749.32,10477.55,32.0,42.75
49.53363181360468,1931.37,1190.34,138.14760188903938,1073.75,1701.08,770.98,11940.64,29.0,49.84
69.70370964403301,1892.25,409.06,288.0,1650.25,1732.8,944.88,12369.65,27.0,48.59
43.31564865110026,706.82,869.94,283.847788928117,684.67,1156.46,436.66,8319.74,31.0,26.07
51.447106285544244,1082.5,844.19,232.96806407318806,997.6,1263.71,490.7,10128.58,28.0,31.97
50.600637436213,945.56,897.01,221.9551756654337,1045.75,1234.91,566.41,9834.4,24.0,30.43
34.53904005856869,847.2,295.83,178.0,817.95,1181.37,572.04,7007.72,29.0,34.11
44.73246191790993,1230.05,251.09,209.68313398046277,1082.29,1237.18,621.67,8418.52,28.0,40.42
44.42914446788272,1134.82,331.02,227.05371192156707,1059.68,1222.37,717.47,8271.08,30.0,38.95
42.322521648956794,793.53,90.78,259.3281837790047,667.98,1020.3,481.56,8357.33,28.0,30.92
48.47726021382291,1224.91,151.85,206.4028388298413,940.74,1061.52,514.2,9904.84,27.0,36.25
46.2762621780643,942.59,256.0,230.40849793552704,846.95,976.86,570.11,9285.89,26.0,34.66
6.850272950076604,665.75,774.79,107.27051212268913,199.64,918.71,273.65,3221.17,5.44,34.98
9.20213382289382,768.03,104.66,99.90119549252516,220.76,845.73,288.87,3722.97,5.32,36.84
