B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
78.18210000000003,404.083,807.96,272.5183,574.62,859.11,148.69,5992.9,28.0,15.43
91.5556,491.76,889.15,312.2238,707.79,844.07,266.1,7576.03,23.0,19.94
94.95459999999999,322.18,1039.74,389.19379999999995,760.43,751.79,275.44,7326.52,30.0,22.47
92.24910000000001,514.06,958.12,314.8038,708.97,770.85,264.32,7580.27,27.0,20.07
71.74210000000001,677.3,818.44,250.18570000000003,606.48,1019.33,190.94,6252.12,26.0,19.44
31.703699999999998,342.8,845.5,253.83850000000007,561.7,789.61,166.62,5275.36,22.0,17.0
80.4142,351.2,913.16,266.15319999999997,568.63,871.8,167.96,5742.07,26.0,16.92
100.59039999999993,517.37,1013.12,447.86379999999997,663.09,872.15,271.31,6849.13,24.0,23.78
81.0067,122.61,749.03,272.52,589.08,657.54,230.16,5714.34,26.0,19.38
88.29260000000002,118.96,1039.31,210.0,707.2,739.21,231.59,6385.83,25.0,19.81
80.89759999999997,362.26,874.31,264.30319999999995,359.18,806.78,125.17,4132.95,25.0,13.32
84.9868,194.17,841.14,272.17330000000004,641.08,742.98,175.92,5754.54,25.0,17.16
87.07490000000003,251.61,846.37,281.2008,835.25,774.3,172.74,6187.62,26.0,17.95
32.789899999999996,413.7,940.66,292.3144,521.91,775.18,175.01,6027.88,21.0,17.98
81.20689999999996,54.63,808.83,277.92,541.87,698.77,178.33,5865.16,24.0,17.14
83.45050000000005,109.36,903.56,256.527,670.46,734.73,170.15,6344.14,27.0,17.95
78.13470000000002,391.76,852.05,244.37710000000007,550.19,745.72,149.72,5668.12,28.0,15.62
81.13789999999997,133.14,860.34,266.9002,532.14,643.57,147.63,5351.07,24.0,14.94
81.62559999999996,191.47,800.98,267.7482,621.81,698.86,143.6,5908.67,24.0,15.13
80.8928,339.66,781.34,248.25,503.05,763.58,174.59,5401.22,25.0,15.27
77.91120000000002,127.88,888.28,249.53519999999997,549.7,710.46,177.13,5488.01,27.0,14.79
81.74199999999996,247.96,767.37,262.0782,623.56,766.24,176.4,6015.4,24.0,15.55
91.73010000000001,348.98,750.78,306.25,596.03,844.52,292.37,7306.62,25.0,21.77
