B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
19.760509244958318,697.1426942462206,807.96,130.51273801557252,574.62,859.11,148.69,5992.9,28.0,15.43
25.299891629502852,491.76,889.15,191.9413980808737,707.79,844.07,266.1,7576.03,23.0,19.94
24.511687409694858,322.18,1039.74,199.81305776997937,760.43,751.79,275.44,7326.52,30.0,22.47
25.18322032811282,514.06,958.12,191.21401159525192,708.97,770.85,264.32,7580.27,27.0,20.07
20.769661627550754,677.3,818.44,139.49552874183956,606.48,1019.33,190.94,6252.12,26.0,19.44
17.612047800647087,342.8,845.5,136.5769425249028,561.7,789.61,166.62,5275.36,22.0,17.0
19.128334514756006,351.2,913.16,149.32382284326783,568.63,871.8,167.96,5742.07,26.0,16.92
22.69536610757033,517.37,1013.12,170.43152536257236,663.09,872.15,271.31,6849.13,24.0,23.78
19.330237912825623,122.61,749.03,164.36394477906688,589.08,657.54,230.16,5714.34,26.0,19.38
21.49735623272352,118.96,1039.31,210.0,707.2,739.21,231.59,6385.83,25.0,19.81
13.460258172847421,362.26,874.31,100.27639334910081,359.18,806.78,125.17,4132.95,25.0,13.32
19.436361427436264,194.17,841.14,161.9212869313269,641.08,742.98,175.92,5754.54,25.0,17.16
21.159561027087022,251.61,846.37,173.3279781007736,835.25,774.3,172.74,6187.62,26.0,17.95
19.85033616990156,413.7,940.66,152.16027297673742,521.91,775.18,175.01,6027.88,21.0,17.98
19.75984204239408,54.63,808.83,172.86678000372524,541.87,698.77,178.33,5865.16,24.0,17.14
21.43162832677372,109.36,903.56,185.2486128105245,670.46,734.73,170.15,6344.14,27.0,17.95
18.80830734731507,391.76,852.05,143.69693582097568,550.19,745.72,149.72,5668.12,28.0,15.62
17.894618491846582,133.14,860.34,153.50703675109827,532.14,643.57,147.63,5351.07,24.0,14.94
19.92609951960266,191.47,800.98,165.64547342190923,621.81,698.86,143.6,5908.67,24.0,15.13
17.980282191994988,339.66,781.34,138.61526083640155,503.05,763.58,174.59,5401.22,25.0,15.27
