soil,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
coloma,20.343193974318968,360.22523504952454,807.96,103.43555887409016,574.62,859.11,148.69,5992.9,28.0,15.43
coloma,22.936243051195376,491.75999999999993,889.1500000000001,103.03703851367965,707.79,844.07,266.1,7576.03,23.0,19.94
coloma,22.921483661734406,322.18,1039.74,120.39260910616757,760.43,751.79,275.44,7326.5199999999995,30.0,22.47
coloma,23.37730320136727,514.06,958.12,110.69519154124582,708.97,770.85,264.32,7580.27,27.0,20.07
coloma,21.476907002971775,677.3,818.44,99.61651519173104,606.48,1019.33,190.94,6252.12,26.0,19.44
coloma,18.607475545319836,342.8,845.5,89.92350564935472,561.7,789.61,166.62000000000003,5275.36,22.0,17.0
coloma,19.84486753338589,351.2,913.16,100.24695291153485,568.63,871.8,167.96,5742.07,26.0,16.92
coloma,22.009301816976347,517.37,1013.12,104.31859714927131,663.09,872.1500000000001,271.31,6849.129999999999,24.0,23.78
coloma,19.166734723536692,122.61,749.03,104.85114930358294,589.08,657.54,230.15999999999997,5714.34,26.0,19.38
coloma,20.207952528575287,118.96000000000001,1039.31,210.0,707.2,739.21,231.59,6385.83,25.0,19.81
coloma,17.050990031361085,362.26,874.31,88.47074888419984,359.18,806.78,125.17000000000002,4132.95,25.0,13.32
coloma,19.33584163984414,194.17,841.14,100.21812084488026,641.08,742.98,175.92000000000002,5754.54,25.0,17.16
coloma,20.389786002773217,251.61,846.37,103.97690732894223,835.25,774.3,172.74,6187.620000000001,26.0,17.95
coloma,19.810648145696103,413.7,940.6599999999999,90.2221412161908,521.91,775.18,175.01,6027.88,21.0,17.98
coloma,18.939714011341316,54.63,808.83,99.99080472103049,541.87,698.77,178.33,5865.16,24.0,17.14
coloma,20.24211831846515,109.36,903.56,107.96011860488868,670.46,734.73,170.15000000000003,6344.140000000001,27.0,17.95
coloma,19.84902929272366,391.76,852.05,101.41550864807954,550.19,745.72,149.72,5668.12,28.0,15.62
coloma,18.285150318688874,133.14,860.34,95.03402609288594,532.14,643.57,147.63,5351.07,24.0,14.94
coloma,19.32175295942565,191.47,800.98,96.46555047107033,621.81,698.86,143.6,5908.67,24.0,15.13
coloma,19.040836728104058,339.66,781.3400000000001,95.50567792070339,503.05,763.58,174.59,5401.22,25.0,15.27
coloma,18.961740556618484,127.88,888.28,103.07622345151854,549.7,710.46,177.13,5488.01,27.0,14.79
coloma,19.741084308518868,247.96000000000004,767.37,97.48383860161843,623.56,766.24,176.4,6015.4,24.0,15.55
