id,name,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
1,coloma,1,1,NA,NA,NA,NA,high,high,high,high,NA,optimum
2,coloma,2,1,NA,high,NA,NA,high,high,high,high,NA,optimum
3,coloma,2,2,NA,high,NA,NA,high,high,high,high,NA,high
4,coloma,2,3,NA,high,NA,NA,high,high,high,high,NA,high
5,coloma,3,1,NA,high,NA,NA,high,high,high,high,NA,optimum
6,coloma,3,2,NA,high,NA,NA,high,high,high,high,NA,optimum
7,coloma,3,3,NA,high,NA,NA,high,high,high,high,NA,optimum
8,coloma,6,1,NA,high,NA,NA,high,high,high,high,NA,high
9,coloma,6,2,NA,optimum,NA,NA,high,high,high,high,NA,optimum
10,coloma,6,3,NA,optimum,NA,NA,high,high,high,high,NA,optimum
11,coloma,7,1,NA,high,NA,NA,high,high,high,high,NA,optimum
12,coloma,7,2,NA,optimum,NA,NA,high,high,high,high,NA,optimum
13,coloma,7,3,NA,high,NA,NA,high,high,high,high,NA,optimum
14,coloma,8,1,NA,high,NA,NA,high,high,high,high,NA,optimum
15,coloma,8,2,NA,optimum,NA,NA,high,high,high,high,NA,optimum
16,coloma,8,3,NA,optimum,NA,NA,high,high,high,high,NA,optimum
17,coloma,9,1,NA,high,NA,NA,high,high,high,high,NA,optimum
18,coloma,9,2,NA,optimum,NA,NA,high,high,high,high,NA,optimum
19,coloma,9,3,NA,optimum,NA,NA,high,high,high,high,NA,optimum
20,coloma,10,1,NA,high,NA,NA,high,high,high,high,NA,optimum
21,coloma,10,2,NA,optimum,NA,NA,high,high,high,high,NA,optimum
22,coloma,10,3,NA,optimum,NA,NA,high,high,high,high,NA,optimum
23,coloma,11,1,NA,high,NA,NA,high,high,high,high,NA,high
24,coloma,11,2,NA,optimum,NA,NA,high,high,high,high,NA,high
25,coloma,11,3,NA,high,NA,NA,high,high,high,high,NA,high
26,coloma,12,1,NA,high,NA,NA,high,high,high,high,NA,high
27,coloma,12,2,NA,high,NA,NA,high,high,high,high,NA,high
28,coloma,12,3,NA,high,NA,NA,high,high,high,high,NA,high
29,coloma,13,1,NA,high,NA,NA,high,high,high,high,NA,optimum
30,coloma,13,2,NA,high,NA,NA,high,high,high,high,NA,optimum
31,coloma,13,3,NA,high,NA,NA,high,high,high,high,NA,optimum
32,coloma,14,1,NA,high,NA,NA,high,high,high,high,NA,optimum
33,coloma,14,2,NA,optimum,NA,NA,high,high,high,high,NA,optimum
34,coloma,14,3,NA,optimum,NA,NA,high,high,high,high,NA,optimum
35,coloma,15,1,NA,high,NA,NA,high,high,high,high,NA,high
36,coloma,15,2,NA,high,NA,NA,high,high,high,high,NA,high
37,coloma,15,3,NA,high,NA,NA,high,high,high,high,NA,high
38,coloma,16,1,NA,high,NA,NA,high,high,high,high,NA,optimum
39,coloma,16,2,NA,high,NA,NA,high,high,high,high,NA,optimum
40,coloma,16,3,NA,high,NA,NA,high,high,high,high,NA,optimum
41,coloma,17,1,NA,high,NA,NA,high,high,high,high,NA,high
42,coloma,17,2,NA,high,NA,NA,high,high,high,high,NA,high
43,coloma,17,3,NA,high,NA,NA,high,high,high,high,NA,high
44,coloma,18,1,NA,high,NA,NA,high,high,high,high,NA,optimum
45,coloma,18,2,NA,optimum,NA,NA,high,high,high,high,NA,optimum
46,coloma,18,3,NA,optimum,NA,NA,high,high,high,high,NA,optimum
47,coloma,19,1,NA,high,NA,NA,high,high,high,high,NA,high
48,coloma,19,2,NA,high,NA,NA,high,high,high,high,NA,optimum
49,coloma,19,3,NA,high,NA,NA,high,high,high,high,NA,high
50,coloma,20,1,NA,high,NA,NA,high,high,high,high,NA,high
51,coloma,20,2,NA,high,NA,NA,high,high,high,high,NA,optimum
52,coloma,20,3,NA,high,NA,NA,high,high,high,high,NA,high
53,coloma,21,1,NA,high,NA,NA,high,high,high,high,NA,high
54,coloma,21,2,high,high,NA,NA,high,high,high,high,NA,high
55,coloma,21,3,NA,high,NA,NA,high,high,high,high,NA,high
56,coloma,22,1,NA,high,NA,NA,high,high,high,high,NA,high
57,coloma,22,2,NA,high,NA,NA,high,high,high,high,NA,high
58,coloma,22,3,NA,high,NA,NA,high,high,high,high,NA,high
59,coloma,23,1,high,high,NA,NA,high,high,high,high,NA,high
60,coloma,23,2,NA,high,NA,NA,high,high,high,high,NA,high
61,coloma,23,3,high,high,NA,NA,high,high,high,high,NA,high
62,coloma,24,1,NA,high,NA,NA,high,high,high,high,NA,high
63,coloma,24,2,NA,high,NA,NA,high,high,high,high,NA,high
64,coloma,24,3,NA,high,NA,NA,high,high,high,high,NA,high
65,coloma,25,1,NA,high,NA,NA,high,high,high,high,NA,high
66,coloma,25,2,NA,high,NA,NA,high,high,high,high,NA,high
67,coloma,25,3,NA,high,NA,NA,high,high,high,high,NA,high
68,coloma,26,1,NA,high,NA,NA,high,high,high,high,NA,high
69,coloma,26,2,NA,high,NA,NA,high,high,high,high,NA,high
70,coloma,26,3,NA,high,NA,NA,high,high,high,high,NA,high
71,coloma,27A,1,NA,high,NA,NA,high,high,high,high,NA,optimum
72,coloma,27A,2,NA,high,NA,NA,high,high,high,high,NA,optimum
73,coloma,27A,3,NA,high,NA,NA,high,high,high,high,NA,optimum
74,coloma,27B,1,NA,high,NA,NA,high,high,high,high,NA,optimum
75,coloma,27B,2,NA,high,NA,NA,high,high,high,high,NA,optimum
76,coloma,27B,3,NA,optimum,NA,NA,high,high,high,high,NA,optimum
77,coloma,28,1,NA,high,NA,NA,high,high,high,high,NA,high
78,coloma,28,2,NA,high,NA,NA,high,high,high,high,NA,high
79,coloma,28,3,NA,high,NA,NA,high,high,high,high,NA,high
80,coloma,29,1,NA,high,NA,NA,high,high,high,high,NA,high
81,coloma,29,2,NA,high,NA,NA,high,high,high,high,NA,high
82,coloma,29,3,NA,high,NA,NA,high,high,high,high,NA,high
83,coloma,30,1,NA,high,NA,NA,high,high,high,high,NA,optimum
84,coloma,30,2,NA,high,NA,NA,high,high,high,high,NA,optimum
85,coloma,30,3,NA,optimum,NA,NA,high,high,high,high,NA,optimum
86,coloma,31,1,NA,high,NA,NA,high,high,high,high,NA,high
87,coloma,31,2,NA,high,NA,NA,high,high,high,high,NA,high
88,coloma,31,3,NA,high,NA,NA,high,high,high,high,NA,high
89,coloma,32,1,NA,high,NA,NA,high,high,high,high,NA,optimum
90,coloma,32,2,high,high,NA,NA,high,high,high,high,NA,optimum
91,coloma,32,3,NA,high,NA,NA,high,high,high,high,NA,optimum
92,coloma,33,1,NA,high,NA,NA,high,high,high,high,NA,high
93,coloma,33,2,NA,high,NA,NA,high,high,high,high,NA,high
94,coloma,33,3,NA,high,NA,NA,high,high,high,high,NA,high
95,coloma,34,1,NA,high,NA,NA,high,high,high,high,NA,optimum
96,coloma,34,2,NA,high,NA,NA,high,high,high,high,NA,high
97,coloma,34,3,NA,high,high,NA,high,high,high,high,NA,high
98,coloma,35,1,NA,high,NA,NA,high,high,high,high,NA,high
99,coloma,35,2,NA,high,NA,NA,high,high,high,high,NA,high
100,coloma,35,3,NA,high,NA,NA,high,high,high,high,NA,high
101,coloma,36,1,NA,optimum,NA,NA,high,high,high,high,NA,optimum
102,coloma,36,2,NA,high,NA,NA,high,high,high,high,NA,high
103,coloma,36,3,NA,high,NA,NA,high,high,high,high,NA,optimum
104,coloma,37,1,NA,high,NA,NA,high,high,high,high,NA,high
105,coloma,37,2,NA,high,NA,NA,high,high,high,high,NA,high
106,coloma,37,3,NA,high,NA,NA,high,high,high,high,NA,high
107,coloma,38,1,NA,high,high,NA,high,high,high,high,NA,high
108,coloma,38,2,NA,high,NA,NA,high,high,high,high,NA,high
109,coloma,38,3,NA,high,high,NA,high,high,high,high,NA,high
110,coloma,39,1,NA,high,NA,NA,high,high,high,high,NA,high
111,coloma,39,2,NA,high,NA,NA,high,high,high,high,NA,high
112,coloma,39,3,NA,high,NA,NA,high,high,high,high,NA,high
113,coloma,40,1,NA,high,NA,NA,high,high,high,high,NA,high
114,coloma,40,2,NA,high,NA,NA,high,high,high,high,NA,high
115,coloma,40,3,NA,high,NA,NA,high,high,high,high,NA,high
116,coloma,41,1,NA,high,NA,NA,high,high,high,high,NA,high
117,coloma,41,2,NA,high,NA,NA,high,high,high,high,NA,high
118,coloma,41,3,NA,high,NA,NA,high,high,high,high,NA,high
119,coloma,42,1,NA,high,NA,NA,high,high,high,high,NA,high
120,coloma,42,2,NA,high,NA,NA,high,high,high,high,NA,high
121,coloma,42,3,NA,high,NA,NA,high,high,high,high,NA,high
122,coloma,43,1,NA,high,high,NA,high,high,high,high,NA,high
123,coloma,43,2,NA,high,NA,NA,high,high,high,high,NA,high
124,coloma,43,3,NA,high,high,NA,high,high,high,high,NA,high
125,coloma,44,1,NA,high,NA,NA,high,high,high,high,NA,high
126,coloma,44,2,NA,high,NA,NA,high,high,high,high,NA,high
127,coloma,44,3,NA,high,NA,NA,high,high,high,high,NA,high
128,coloma,45,1,NA,high,high,NA,high,high,high,high,NA,high
129,coloma,45,2,NA,high,high,NA,high,high,high,high,NA,high
130,coloma,45,3,NA,high,high,NA,high,high,high,high,NA,high
131,coloma,46,1,NA,high,high,NA,high,high,high,high,NA,high
132,coloma,46,2,NA,high,high,NA,high,high,high,high,NA,high
133,coloma,46,3,NA,high,high,NA,high,high,high,high,NA,high
134,lobby,1,1,NA,high,NA,NA,high,high,high,high,optimum,high
135,lobby,1,2,NA,high,high,NA,high,high,high,high,optimum,high
136,lobby,1,3,high,high,high,NA,high,high,high,high,optimum,high
137,lobby,2,1,NA,high,low,NA,low,high,high,high,high,high
138,lobby,2,2,NA,high,high,NA,high,high,high,high,high,high
139,lobby,2,3,NA,high,high,NA,high,high,high,high,high,high
140,lobby,3,1,NA,high,NA,NA,high,high,high,high,optimum,high
141,lobby,3,2,NA,high,high,NA,high,high,high,high,optimum,high
142,lobby,3,3,NA,high,high,NA,high,high,high,high,optimum,high
143,lobby,4,1,NA,high,NA,NA,high,high,high,high,optimum,high
144,lobby,4,2,NA,high,high,NA,high,high,high,high,high,high
145,lobby,4,3,NA,high,high,NA,high,high,high,high,high,high
146,lobby,5,1,NA,high,high,NA,high,high,high,high,high,high
147,lobby,5,2,NA,high,high,NA,high,high,high,high,high,high
148,lobby,5,3,NA,high,high,NA,high,high,high,high,high,high
149,lobby,6,1,NA,high,high,NA,high,high,high,high,high,high
150,lobby,6,2,NA,high,high,NA,high,high,high,high,optimum,high
151,lobby,6,3,NA,high,high,NA,high,high,high,high,optimum,high
152,lobby,7,1,NA,high,high,NA,high,high,high,high,optimum,high
153,lobby,7,2,NA,high,high,NA,high,high,high,high,optimum,high
154,lobby,7,3,NA,high,high,NA,high,high,high,high,optimum,high
155,lobby,8,1,NA,high,high,NA,high,NA,high,high,optimum,high
156,lobby,8,2,NA,high,high,NA,high,optimum,high,high,high,high
157,lobby,8,3,NA,high,high,NA,high,high,high,high,high,high
158,lobby,9,1,NA,high,high,NA,high,optimum,high,high,optimum,optimum
159,lobby,9,2,NA,high,high,NA,high,optimum,high,high,optimum,optimum
160,lobby,9,3,NA,high,high,NA,high,optimum,high,high,optimum,optimum
161,lobby,10,1,NA,high,high,NA,high,optimum,high,high,optimum,high
162,lobby,10,2,NA,high,high,NA,high,high,high,high,optimum,high
163,lobby,10,3,NA,high,high,NA,high,high,high,high,optimum,high
164,lobby,11,1,high,high,high,NA,high,NA,high,high,optimum,high
165,lobby,11,2,high,high,high,NA,high,NA,high,high,optimum,high
166,lobby,11,3,NA,NA,NA,NA,NA,low,NA,high,NA,NA
167,lobby,12,1,high,high,high,low,high,NA,high,high,high,high
