id,soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
1,coloma,1,1,0,0,807.96,0,8157.39,2302.05,180,9111,28,17
2,coloma,1,2,0,0,917.52,0,8531.77,2249.88,149,8956,19,20
3,coloma,1,3,0,0,834.15,0,8217.16,2241.3,166,8965,29,20
4,coloma,2,1,0,0,889.15,0,8537.58,2405.68,286,11660,23,19
5,coloma,2,2,0,0,1039.74,0,8861.32,2347.07,326,11714,30,17
6,coloma,2,3,0,0,958.12,0,8573.27,2344.93,302,11130,27,16
7,coloma,3,1,0,0,818.44,0,7977.26,2411.4,203,8056,26,19
8,coloma,3,2,0,0,845.5,0,7993.86,2324.92,163,8521,22,19
9,coloma,3,3,0,0,913.16,0,7788,2282.04,203,8381,26,23
10,coloma,6,1,0,0,1013.12,0,8325.9,2232.01,274,9192,24,21
11,coloma,6,2,0,0,749.03,0,8379.86,2246.3,268,9118,26,20
12,coloma,6,3,0,0,1039.31,210,8173.99,2164.83,266,9141,25,23
13,coloma,7,1,0,0,874.31,0,8474.49,2381.38,203,9150,25,16
14,coloma,7,2,0,0,841.14,0,8168.18,2268.46,176,9232,25,21
15,coloma,7,3,0,0,846.37,0,8041.18,2294.9,170,8679,26,21
16,coloma,8,1,0,0,940.66,0,8392.31,2346.36,195,9252,21,22
17,coloma,8,2,0,0,808.83,0,8125.85,2186.98,159,8923,24,18
18,coloma,8,3,0,0,903.56,0,8428.84,2204.85,191,9277,27,19
19,coloma,9,1,0,0,852.05,0,8604.82,2189.13,190,8476,28,15
20,coloma,9,2,0,0,860.34,0,8408.91,2136.95,137,8330,24,18
21,coloma,9,3,0,0,800.98,0,8097.63,2067.63,133,8069,24,16
22,coloma,10,1,0,0,781.34,0,8197.24,2292.76,181,8306,25,15
23,coloma,10,2,0,0,888.28,0,8104.27,2210.57,187,8191,27,11
24,coloma,10,3,0,0,767.37,0,8217.99,2229.86,187,8642,24,13
25,coloma,11,1,0,0,750.78,0,8560.82,2436.41,292,10770,25,22
26,coloma,11,2,0,0,855.1,0,8462.87,2384.95,323,10517,24,22
27,coloma,11,3,0,0,770.86,0,8242.89,2347.07,289,12160,27,22
28,coloma,12,1,0,0,888.28,0,8571.61,2117.66,389,10008,23,25
29,coloma,12,2,0,0,996.97,0,8452.08,2135.52,433,10402,26,28
30,coloma,12,3,0,0,968.16,0,8473.66,2136.95,407,9934,31,24
31,coloma,13,1,0,0,840.26,0,7848.6,2465.72,138,7431,27,14
32,coloma,13,2,0,0,850.3,0,8210.52,2625.81,162,7467,26,12
33,coloma,13,3,0,0,806.22,367,9203.32,2885.24,136,7528,26,21
34,coloma,14,1,0,0,804.03,0,9197.51,2474.29,164,8455,25,14
35,coloma,14,2,0,0,786.14,0,8834.75,2309.91,128,8185,22,12
36,coloma,14,3,0,0,830.66,0,8623.08,2337.07,130,8016,25,15
37,coloma,15,1,0,0,998.71,0,9195.02,2775.18,389,13619,25,26
38,coloma,15,2,0,0,894.39,0,9045.6,2691.56,338,13820,24,23
39,coloma,15,3,0,0,928,0,8861.32,2657.25,366,13998,26,20
40,coloma,16,1,0,0,768.24,0,8198.07,2357.8,200,8527,26,18
41,coloma,16,2,0,0,846.81,0,8401.44,2457.85,161,8755,22,20
42,coloma,16,3,0,0,855.1,0,8178.98,2347.79,181,8384,25,16
43,coloma,17,1,0,0,854.67,0,8340.84,2363.51,314,10971,32,24
44,coloma,17,2,0,0,838.08,0,8304.32,2339.21,335,10717,24,23
45,coloma,17,3,0,0,969.9,0,8138.3,2337.07,305,10588,24,23
46,coloma,18,1,0,0,739.43,0,8034.54,2190.56,178,8667,20,19
47,coloma,18,2,0,0,726.77,0,7887.61,2089.78,216,8372,22,18
48,coloma,18,3,0,0,617.65,0,8066.91,2126.23,221,8199,20,19
49,coloma,19,1,0,0,942.4,0,9528.72,2640.82,381,13326,27,23
50,coloma,19,2,0,0,780.03,0,9446.54,2811.63,349,13731,26,23
51,coloma,19,3,0,0,813.2,0,9737.07,2764.46,342,12987,29,18
52,coloma,20,1,0,0,811.45,0,9109.52,2939.56,269,11948,26,21
53,coloma,20,2,0,0,872.13,0,9156.83,2813.77,255,11535,21,20
54,coloma,20,3,0,0,909.67,0,9492.19,2953.14,261,11669,24,21
55,coloma,21,1,0,0,959.86,0,8788.27,2807.34,378,12612,25,21
56,coloma,21,2,0,0,910.54,0,8864.64,2843.08,427,13664,26,23
57,coloma,21,3,0,0,1055.02,0,9700.55,2906.68,403,12334,25,24
58,coloma,22,1,0,0,893.66,0,7771.4,2334.92,337.67,10192,24.67,28.67
59,coloma,22,2,0,0,931.05,0,7663.48,2407.82,332,10280,24,24
60,coloma,22,3,0,0,918.83,0,7799.62,2320.63,314,10430,26,24
61,coloma,23,1,0,0,1013.55,0,8549.2,2522.18,400,11439,23,21
62,coloma,23,2,0,0,975.14,0,8618.1,2453.57,426,10535,26,25
63,coloma,23,3,0,0,924.51,0,8457.06,2495.02,394,11152,27,25
64,coloma,24,1,0,0,890.9,0,6964.54,2164.11,293,8664,26,23
65,coloma,24,2,0,0,778.28,0,6939.64,2008.31,288,8528,28,26
66,coloma,24,3,0,0,848.56,0,7313.18,2208.42,278,9046,26,22
67,coloma,25,1,0,0,884.35,0,8265.31,2170.54,296,10239,23,28
68,coloma,25,2,0,0,836.33,0,8548.37,2239.87,254,9835,30,24
69,coloma,25,3,0,0,897.01,0,8176.49,2214.14,308,9889,21,20
70,coloma,26,1,0,0,1005.26,0,8270.29,2435.7,285,9533,29,20
71,coloma,26,2,0,0,965.54,0,8485.28,2375.66,272,9534,30,21
72,coloma,26,3,0,0,863.83,0,8556.67,2456.42,268,9372,27,21
73,coloma,27A,1,0,0,811.02,0,9125.29,2670.83,247,8912,26,18
74,coloma,27A,2,0,0,706.26,0,8648.81,2537.9,194,8853,27,17
75,coloma,27A,3,0,0,811.45,0,8497.73,2582.21,209,8798,23,18
76,coloma,27B,1,0,0,776.97,0,9130.27,2612.94,253,8867,27,17
77,coloma,27B,2,0,0,763.44,0,9307.08,2700.14,238,9328,26,19
78,coloma,27B,3,0,0,694.47,0,9170.11,2695.13,183,9191,25,18
79,coloma,28,1,0,0,745.98,0,7788.83,2129.81,319,9864,26,22
80,coloma,28,2,0,0,701.67,0,7946.55,2201.28,309.5,10322.5,24.5,22
81,coloma,28,3,0,0,848.56,0,8152.41,2367.09,296,10312,26,26
82,coloma,29,1,0,0,879.98,0,9559.43,3044.62,435,14568,30,27
83,coloma,29,2,0,0,904.43,0,9891.47,3221.87,413,15318,26,26
84,coloma,29,3,0,0,869.07,0,9676.48,3037.48,420,14464,29,30
85,coloma,30,1,0,0,782.64,0,8610.63,2305.62,250,9799,25,19
86,coloma,30,2,0,0,756.02,0,8409.74,2353.51,237,9573,28,21
87,coloma,30,3,0,0,693.16,0,8438.8,2238.44,245,9013,23,20
88,coloma,31,1,0,0,768.24,0,7367.14,2257.74,277,10151,24,21
89,coloma,31,2,0,0,793.12,0,7238.47,2258.45,268,10507,23,23
90,coloma,31,3,0,0,1048.91,0,8476.98,2659.4,303,11743,22,24
91,coloma,32,1,0,0,755.15,0,8480.3,2291.33,246,10743,27,20
92,coloma,32,2,0,0,727.65,0,8437.14,2306.34,278,10572,26,17
93,coloma,32,3,0,0,888.71,0,8798.23,2421.4,218,10614,30,20
94,coloma,33,1,0,0,799.23,0,7829.5,2396.39,395,10113,30,23
95,coloma,33,2,0,0,858.16,0,7603.72,2419.26,342,10111,29,23
96,coloma,33,3,0,0,752.09,0,7267.53,2309.2,319,9592,28,20
97,coloma,34,1,0,0,1339.62,0,10128.88,3138.96,646,13888,32,34
98,coloma,34,2,0,0,1222.64,0,9388.43,2871.66,652,13098,30,38
99,coloma,34,3,0,0,1315.17,0,9943.77,2916.69,646,13314,31,38
100,coloma,35,1,0,0,846.81,0,8333.37,3102.51,476,11588,23,44
101,coloma,35,2,0,0,813.64,0,8514.34,3322.64,456,12080,30,49
102,coloma,35,3,0,0,760.38,0,8239.57,3028.18,470,11302,25,45
103,coloma,36,1,0,0,824.99,0,8256.17,2471.43,204,9412,25,19
104,coloma,36,2,0,0,983.43,0,8261.99,2502.88,188,9146,25,19
105,coloma,36,3,0,0,740.74,0,8352.47,2552.91,160,9430,28,21
106,coloma,37,1,0,0,928.44,0,9298.78,3144.68,439,13224,27,26
107,coloma,37,2,0,0,796.18,0,8823.13,3020.68,419,13530,26.5,25.5
108,coloma,37,3,0,0,797.92,0,9322.02,3183.27,394,13329,26,26
109,coloma,38,1,0,0,1094.74,0,9351.08,3522.76,689,16541,31,38
110,coloma,38,2,0,0,1159.34,0,9347.76,3551.34,649,16201,26,42
111,coloma,38,3,0,0,1111.77,0,9460.65,3667.13,704,16340,28,39
112,coloma,39,1,0,0,763.44,0,7680.09,2569.35,380,11975,27,24
113,coloma,39,2,0,0,883.48,0,8041.18,2681.55,414,12256,32,24
114,coloma,39,3,0,0,887.84,0,7958.17,2547.91,414,12120,26,24
115,coloma,40,1,0,0,935.42,0,9935.47,3064.63,466,14337,27,28
116,coloma,40,2,0,0,919.27,0,9663.19,2890.25,501,14651,27,25
117,coloma,40,3,0,0,921.45,0,9923.02,2990.3,441,13912,30,22
118,coloma,41,1,0,0,861.21,181,10186.99,3404.12,477,15201,27,27
119,coloma,41,2,0,0,764.75,0,9763.64,3275.47,520,15066,27,29
120,coloma,41,3,0,0,769.99,277,9933.81,3332.65,503,14334,25,30
121,coloma,42,1,0,0,778.28,232,9089.6,2828.07,455,13158,28,27
122,coloma,42,2,0,0,886.97,350,9203.32,2846.65,439,12936,30,22
123,coloma,42,3,0,0,816.26,179,8823.96,2789.47,446,12955,27,27
124,coloma,43,1,0,0,1147.12,287,11216.31,4196.72,864,18518,32,44
125,coloma,43,2,0,0,1190.34,0,11097.61,4158.12,887,18689,29,46
126,coloma,43,3,0,0,1172,288,11267.78,4153.12,862,18418,27,49
