id,soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
1,coloma,1,1,0,0,0,0,574.62,859.11,148.69,5992.9,0,15.43
2,coloma,2,1,0,491.76,0,0,707.79,844.07,266.1,7576.03,0,19.94
3,coloma,2,2,0,322.18,0,0,760.43,751.79,275.44,7326.52,0,22.47
4,coloma,2,3,0,514.06,0,0,708.97,770.85,264.32,7580.27,0,20.07
5,coloma,3,1,0,677.3,0,0,606.48,1019.33,190.94,6252.12,0,19.44
6,coloma,3,2,0,342.8,0,0,561.7,789.61,166.62,5275.36,0,17
7,coloma,3,3,0,351.2,0,0,568.63,871.8,167.96,5742.07,0,16.92
8,coloma,6,1,0,517.37,0,0,663.09,872.15,271.31,6849.13,0,23.78
9,coloma,6,2,0,122.61,0,0,589.08,657.54,230.16,5714.34,0,19.38
10,coloma,6,3,0,118.96,0,0,707.2,739.21,231.59,6385.83,0,19.81
11,coloma,7,1,0,362.26,0,0,359.18,806.78,125.17,4132.95,0,13.32
12,coloma,7,2,0,194.17,0,0,641.08,742.98,175.92,5754.54,0,17.16
13,coloma,7,3,0,251.61,0,0,835.25,774.3,172.74,6187.62,0,17.95
14,coloma,8,1,0,413.7,0,0,521.91,775.18,175.01,6027.88,0,17.98
15,coloma,8,2,0,54.63,0,0,541.87,698.77,178.33,5865.16,0,17.14
16,coloma,8,3,0,109.36,0,0,670.46,734.73,170.15,6344.14,0,17.95
17,coloma,9,1,0,391.76,0,0,550.19,745.72,149.72,5668.12,0,15.62
18,coloma,9,2,0,133.14,0,0,532.14,643.57,147.63,5351.07,0,14.94
19,coloma,9,3,0,191.47,0,0,621.81,698.86,143.6,5908.67,0,15.13
20,coloma,10,1,0,339.66,0,0,503.05,763.58,174.59,5401.22,0,15.27
21,coloma,10,2,0,127.88,0,0,549.7,710.46,177.13,5488.01,0,14.79
22,coloma,10,3,0,247.96,0,0,623.56,766.24,176.4,6015.4,0,15.55
23,coloma,11,1,0,348.98,0,0,596.03,844.52,292.37,7306.62,0,21.77
24,coloma,11,2,0,164.34,0,0,610.81,752.22,289.84,7117.29,0,20.79
25,coloma,11,3,0,252.77,0,0,674.05,821.37,291.69,7931.51,0,21.37
26,coloma,12,1,0,652.66,0,0,777.4,763.46,392.57,6631.98,0,26.99
27,coloma,12,2,0,285.98,0,0,752.89,689.04,400.75,6661.66,0,25.2
28,coloma,12,3,0,480.29,0,0,793.06,727.11,385.25,7123.29,0,25.91
29,coloma,13,1,0,600.16,0,0,464.56,951.99,127.1,4994.33,0,13.9
30,coloma,13,2,0,352.34,0,0,497.58,857.49,126.95,5033.87,0,13.4
31,coloma,13,3,0,357.89,0,0,539.74,922.64,124.65,5505.48,0,13.13
32,coloma,14,1,0,419.87,0,0,515.05,780.6,121.56,5051.98,0,12.91
33,coloma,14,2,0,208.52,0,0,529.51,703.99,124.32,5216.4,0,13.13
34,coloma,14,3,0,238.36,0,0,538.74,740.49,119.71,5576.26,0,12.64
35,coloma,15,1,0,745.59,0,0,773.41,979.43,334.24,8763.05,0,24.04
36,coloma,15,2,0,389.61,0,0,877.96,861.91,330.23,8656.71,0,22.61
37,coloma,15,3,0,512.21,0,0,768.97,911.85,327.07,9602.03,0,23.44
38,coloma,16,1,0,568.84,0,0,564.41,861.41,144.8,5622.18,0,17.06
39,coloma,16,2,0,301.18,0,0,555.73,763.14,141.79,5594.85,0,17.67
40,coloma,16,3,0,328.22,0,0,879.46,816.55,137.74,6121.36,0,16.41
41,coloma,17,1,0,588.96,0,0,706.41,890.68,290.73,6825.35,0,21.92
42,coloma,17,2,0,401.5,0,0,653.83,779.05,297.23,7043.61,0,20.95
43,coloma,17,3,0,441.49,0,0,800.17,809.84,287.32,7456.93,0,21.1
44,coloma,18,1,0,432.23,0,0,529.42,780.92,188.77,5177.73,0,18.94
45,coloma,18,2,0,99.71,0,0,495.16,699.39,188.95,5352.57,0,17.58
46,coloma,18,3,0,128.29,0,0,633.38,751.65,185.33,5835.43,0,18.06
47,coloma,19,1,0,647.63,0,0,733.98,924.89,310.1,7998.74,0,20.74
48,coloma,19,2,0,334.82,0,0,568.49,840.73,295.44,8465.19,0,19.74
49,coloma,19,3,0,469.93,0,0,733.9,844.1,306.77,8685.51,0,20.61
50,coloma,20,1,0,789.13,0,0,597.11,1047.54,233.43,6998.77,0,20.06
51,coloma,20,2,0,538.49,0,0,479.82,965.61,230.5,7645.65,0,19.57
52,coloma,20,3,0,694.56,0,0,1098.65,1043.31,237.09,8308.73,0,20.52
53,coloma,21,1,0,652.76,0,0,684.68,1036.39,334.6,7533.4,0,23.02
54,coloma,21,2,38.75,541.13,0,0,791.95,978.03,328.8,8274.46,0,22.24
55,coloma,21,3,0,516.7,0,0,718.3,933.71,336.77,8611.37,0,22.6
56,coloma,22,1,0,947.88,0,0,813.7,963.9,315.16,6469.25,0,25.75
57,coloma,22,2,0,743.94,0,0,703.62,933.42,324.51,7523.01,0,26.29
58,coloma,22,3,0,628.67,0,0,773.41,906.81,307.92,7289.38,0,26.22
59,coloma,23,1,117.4,784.18,0,0,974.92,1025.92,345.87,7087.84,0,26.93
60,coloma,23,2,0,562.83,0,0,657.01,914.91,350.1,7725.97,0,26.54
61,coloma,23,3,91.06,514.44,0,0,1419.95,925.17,338.33,7824.35,0,26.02
62,coloma,24,1,0,695.47,0,0,628.63,821.75,266.73,5361.59,0,25.19
63,coloma,24,2,0,434.15,0,0,532.72,763.1,272.25,6198.13,0,24.57
64,coloma,24,3,0,369.89,0,0,401.85,766.26,322.29,6383.61,0,24.63
65,coloma,25,1,0,733.77,0,0,684.37,848.41,277.41,6153.92,0,24.81
66,coloma,25,2,0,565.75,0,0,626.05,834.42,282.44,7271.42,0,24.78
67,coloma,25,3,0,459.62,0,0,506.36,876.87,347.02,7829.4,0,25.97
68,coloma,26,1,0,586.22,0,0,670.68,864.37,257.73,5483.04,0,22.41
69,coloma,26,2,0,386.72,0,0,596.71,849.51,266.74,6591.02,0,22.79
70,coloma,26,3,0,432.92,0,0,517.95,941.69,330.11,7227.84,0,24.19
71,coloma,27A,1,0,677.9,0,0,565.82,914.14,201.99,5230.24,0,17.78
72,coloma,27A,2,0,434.74,0,0,490.29,891.32,200.48,6289.37,0,18.67
73,coloma,27A,3,0,273.98,0,0,344.97,870.62,222.5,6060.42,0,16.66
74,coloma,27B,1,0,691.17,0,0,596.07,954.5,189.77,5230.21,0,16.92
75,coloma,27B,2,0,449.5,0,0,504.49,921.37,197.12,6367.78,0,17.21
76,coloma,27B,3,0,232.68,0,0,331.79,876.92,212.3,5977.22,0,16.01
77,coloma,28,1,0,695.19,0,0,827.73,831.87,274.91,6119.4,0,22.69
78,coloma,28,2,0,516.09,0,0,560.52,803.75,285.13,7269.88,0,22.7
79,coloma,28,3,0,417.71,0,0,406.09,786.77,320.64,7129.97,0,21.62
80,coloma,29,1,0,1064.81,0,0,735.03,1110.07,361.19,7718.29,0,29.31
81,coloma,29,2,0,788.12,0,0,651.48,1103.82,376.44,9751.96,0,27.67
82,coloma,29,3,0,789.13,0,0,503.49,1109.74,441.55,10056.16,0,27.45
83,coloma,30,1,0,430.22,0,0,594.24,811.45,219.15,5524.23,0,17.96
84,coloma,30,2,0,355.26,0,0,488.62,760.96,222.99,6659.24,0,18.24
85,coloma,30,3,0,229.96,0,0,303.65,784.74,256.15,6838.21,0,17.4
86,coloma,31,1,0,885.19,0,0,733.52,1004.9,308.49,7646.83,0,25
87,coloma,31,2,0,821.98,0,0,641.42,890.36,270.19,7396.96,0,23.67
88,coloma,31,3,0,674.37,0,0,311.04,884.25,321,7394.19,0,22.85
89,coloma,32,1,0,393.27,0,0,557.17,850.23,235.6,7365.88,0,19.43
90,coloma,32,2,115.17,387.79,0,0,733.16,801.5,214.61,7642.52,0,18.85
91,coloma,32,3,0,340.49,0,0,291.64,768.85,247.73,7438.97,0,17.49
92,coloma,33,1,0,460.26,0,0,626.38,1015.95,372.87,7161.51,0,23.47
93,coloma,33,2,0,472.77,0,0,588.61,915.34,334.44,7117.76,0,23.29
94,coloma,33,3,0,355.94,0,0,1880.61,917.5,391.2,7082.38,0,21.44
95,coloma,34,1,0,383.13,0,0,542.79,828.3,229.52,7175.86,0,18.93
96,coloma,34,2,0,963.57,0,0,815.09,1093.82,585.88,8928.42,0,39.65
97,coloma,34,3,0,738.5,226.87,0,1265.08,1011.7,674.29,8396.81,0,38.06
98,coloma,35,1,0,725.67,0,0,623.45,1338.83,422.09,7076.99,0,45.3
99,coloma,35,2,0,1070.2,0,0,702.91,1410.1,440.62,8172.89,0,52.46
100,coloma,35,3,0,727.42,0,0,910.15,1325.36,495.57,7738.6,0,49.31
101,coloma,36,1,0,235,0,0,438.42,877.48,163.59,5771.09,0,18.11
102,coloma,36,2,0,397.31,0,0,439.76,857.39,167.24,6564.19,0,20.08
103,coloma,36,3,0,363.9,0,0,614.79,840.47,186,6332.21,0,19.56
104,coloma,37,1,0,322.09,0,0,537.18,1074.7,356.97,7426.08,0,23.7
105,coloma,37,2,0,680.88,0,0,600.92,1097.21,373.57,8441.71,0,27.78
106,coloma,37,3,0,546.13,0,0,659.43,1153.04,441.8,9030.87,0,26.5
107,coloma,38,1,0,1060.05,41.62,0,738.76,1400.25,589.63,9477.76,0,37.8
108,coloma,38,2,0,1485.94,0,0,836.55,1462.6,610.55,11015.62,0,43.48
109,coloma,38,3,0,1403.82,199.89,0,884.15,1463.04,719.02,10835.64,0,41.74
110,coloma,39,1,0,520.79,0,0,593.45,934.3,360.24,7309.47,0,23.87
111,coloma,39,2,0,766.23,0,0,662.07,994.85,376.61,8387.49,0,27.81
112,coloma,39,3,0,675.47,0,0,624.03,995.81,451.2,8406.11,0,28.68
113,coloma,40,1,0,456.74,0,0,519.06,926.73,397.24,7732.08,0,24.12
114,coloma,40,2,0,637.22,0,0,589.68,971.9,408.76,9201.6,0,27.43
115,coloma,40,3,0,531.14,0,0,469.94,992.87,494.9,9329.99,0,26.39
116,coloma,41,1,0,606.88,0,0,639.43,1168.39,429.37,8463.83,0,24.3
117,coloma,41,2,0,914.54,0,0,635.4,1179.06,439.14,9517.67,0,28.05
118,coloma,41,3,0,665.76,0,0,2726.35,1187.17,524.49,9608.67,0,26.02
119,coloma,42,1,0,317.24,0,0,475.7,947.3,389.06,7326.43,0,23.42
120,coloma,42,2,0,504.93,0,0,517.02,988.64,391.5,8520.9,0,26.58
121,coloma,42,3,0,463.71,0,0,1447.78,982.75,474.47,8650.37,0,25.95
122,coloma,43,1,0,1521.61,303.69,0,1080.08,1668.02,749.32,10477.55,0,42.75
123,coloma,43,2,0,1931.37,0,0,1073.75,1701.08,770.98,11940.64,0,49.84
124,coloma,43,3,0,1892.25,409.06,0,1650.25,1732.8,944.88,12369.65,0,48.59
125,coloma,44,1,0,706.82,0,0,684.67,1156.46,436.66,8319.74,0,26.07
126,coloma,44,2,0,1082.5,0,0,997.6,1263.71,490.7,10128.58,0,31.97
127,coloma,44,3,0,945.56,0,0,1045.75,1234.91,566.41,9834.4,0,30.43
128,coloma,45,1,0,847.2,295.83,0,817.95,1181.37,572.04,7007.72,0,34.11
129,coloma,45,2,0,1230.05,251.09,0,1082.29,1237.18,621.67,8418.52,0,40.42
130,coloma,45,3,0,1134.82,331.02,0,1059.68,1222.37,717.47,8271.08,0,38.95
131,coloma,46,1,0,793.53,90.78,0,667.98,1020.3,481.56,8357.33,0,30.92
132,coloma,46,2,0,1224.91,151.85,0,940.74,1061.52,514.2,9904.84,0,36.25
133,coloma,46,3,0,942.59,256,0,846.95,976.86,570.11,9285.89,0,34.66
134,lobby,1,1,0,665.75,0,0,199.64,918.71,273.65,3221.17,5.44,34.98
135,lobby,1,2,0,768.03,104.66,0,220.76,845.73,288.87,3722.97,5.32,36.84
136,lobby,1,3,10.66,1035.92,260.14,0,581.68,875.56,279.42,3757.6,4.82,35.1
137,lobby,2,1,0,488.42,2.82,0,53.08,799.27,293.12,3580.72,9.4,35.45
138,lobby,2,2,0,684.07,217.68,0,193.55,816.78,302.54,3756.43,9.49,40.11
139,lobby,2,3,0,866.61,367.78,0,343.09,742.54,290.09,3874.31,8.61,34.72
140,lobby,3,1,0,502.53,0,0,194.23,760.48,331.56,4471.12,4.99,35.12
141,lobby,3,2,0,875.79,212.42,0,281.57,712.49,328.8,4180.4,4.78,36.79
142,lobby,3,3,0,891.81,412.79,0,511.69,719.61,328.25,4157.23,5.5,36.37
143,lobby,4,1,0,437.83,0,0,241.16,708.15,292.15,3954.45,5,26.74
144,lobby,4,2,0,803.81,214.21,0,406.22,763.61,313.03,4424.46,5.74,29.43
145,lobby,4,3,0,1234.99,411.14,0,496.07,911.22,320.96,4162.04,6.8,73.77
146,lobby,5,1,0,1101.23,427.53,0,495.95,989.72,442.22,6007.81,5.91,36.87
147,lobby,5,2,0,1234.11,688.85,0,563.16,950.19,465.86,6077.37,7.33,39.49
148,lobby,5,3,0,1372.19,775.28,0,604.3,905.7,465.13,5496.4,6.98,37.71
149,lobby,6,1,0,967.58,557.32,0,455.74,677.97,348.22,4566.11,5.56,34.78
150,lobby,6,2,0,896.65,544.99,0,542.24,671.18,343.42,4362.66,5.44,28.59
151,lobby,6,3,0,1067.67,577.91,0,483.7,772.43,328.83,4131.04,5.4,28.34
152,lobby,7,1,0,885.98,480.2,0,406.1,623.38,300.82,3769.06,5.05,23.73
153,lobby,7,2,0,846.05,492.28,0,421.93,625.24,297.98,3804.8,4.6,34.57
154,lobby,7,3,0,853.43,557.01,0,352.53,621.06,319.78,3859.7,5.06,24.78
155,lobby,8,1,0,2521.29,640.38,0,347.87,0,284.64,3651.19,5.5,25.08
156,lobby,8,2,0,828.05,683.43,0,332.43,593.4,296.46,3787.49,5.59,24.99
157,lobby,8,3,0,834.78,680.75,0,441.08,612.74,292.97,3739.71,5.72,25.18
158,lobby,9,1,0,671.32,564.21,0,264.02,492.46,230.23,3382.37,2.83,18.53
159,lobby,9,2,0,804.38,592.03,0,499.11,573.59,232.83,3645.11,2.84,19.06
160,lobby,9,3,0,758.03,610.38,0,300.48,556.65,243.4,3629.13,2.87,19.27
161,lobby,10,1,0,854.24,756.78,0,387.6,597.12,251.39,3825.11,4.37,27.8
162,lobby,10,2,0,924.9,769.78,0,386.28,641.65,257.08,4000.37,4.53,22.04
163,lobby,10,3,0,876.48,773.24,0,395.88,600.68,249.34,3829.76,4.43,21.99
164,lobby,11,1,20.53,1070.15,689.58,0,748.71,0,338.8,5637.97,3.96,26.82
165,lobby,11,2,20.84,1078.85,753.91,0,739.14,0,338.88,5614.34,3.97,27.39
166,lobby,11,3,0,0,0,0,0,11.63,0,23.88,0,0
167,lobby,12,1,21.19,1152.62,1133.02,24.83,759.31,0,342.02,6092.35,6.43,27.92
168,lobby,12,2,20.37,1141.22,1182.21,27.14,751.71,0,342.37,6099.33,6.46,28.4
169,lobby,12,3,21.16,1212.81,1229.95,30.88,780.43,0,349.23,6287.7,6.65,27.84
170,lobby,13,1,19.6,1229,1016.12,0,653.42,0,201.33,5314.15,3.57,24.22
171,lobby,13,2,19.53,1257.57,1029.06,0,632.09,0,202.36,5502.35,3.9,25.07
172,lobby,13,3,19.61,1250.62,1038.24,0,640.15,0,201.11,5538.18,3.4,30.69
173,lobby,14,1,22.21,1269.44,1109.23,0,695.97,0,261.69,5160.72,4.21,26.91
174,lobby,14,2,23.2,1297.23,1194.7,0,689.62,0,263.95,5135.92,4.01,28.41
175,lobby,14,3,23.48,1329.54,1278.47,3.32,714.31,0,270.69,5153.39,4.46,27.68
