soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
coloma,1,1,0.0,0.0,807.96,0.0,574.62,859.11,148.69,5992.9,28.0,15.43
coloma,2,1,0.0,491.76,889.15,0.0,707.79,844.07,266.1,7576.03,23.0,19.94
coloma,2,2,0.0,322.18,1039.74,0.0,760.43,751.79,275.44,7326.52,30.0,22.47
coloma,2,3,0.0,514.06,958.12,0.0,708.97,770.85,264.32,7580.27,27.0,20.07
coloma,3,1,0.0,677.3,818.44,0.0,606.48,1019.33,190.94,6252.12,26.0,19.44
coloma,3,2,0.0,342.8,845.5,0.0,561.7,789.61,166.62,5275.36,22.0,17.0
coloma,3,3,0.0,351.2,913.16,0.0,568.63,871.8,167.96,5742.07,26.0,16.92
coloma,6,1,0.0,517.37,1013.12,0.0,663.09,872.15,271.31,6849.13,24.0,23.78
coloma,6,2,0.0,122.61,749.03,0.0,589.08,657.54,230.16,5714.34,26.0,19.38
coloma,6,3,0.0,118.96,1039.31,210.0,707.2,739.21,231.59,6385.83,25.0,19.81
coloma,7,1,0.0,362.26,874.31,0.0,359.18,806.78,125.17,4132.95,25.0,13.32
coloma,7,2,0.0,194.17,841.14,0.0,641.08,742.98,175.92,5754.54,25.0,17.16
coloma,7,3,0.0,251.61,846.37,0.0,835.25,774.3,172.74,6187.62,26.0,17.95
coloma,8,1,0.0,413.7,940.66,0.0,521.91,775.18,175.01,6027.88,21.0,17.98
coloma,8,2,0.0,54.63,808.83,0.0,541.87,698.77,178.33,5865.16,24.0,17.14
coloma,8,3,0.0,109.36,903.56,0.0,670.46,734.73,170.15,6344.14,27.0,17.95
coloma,9,1,0.0,391.76,852.05,0.0,550.19,745.72,149.72,5668.12,28.0,15.62
coloma,9,2,0.0,133.14,860.34,0.0,532.14,643.57,147.63,5351.07,24.0,14.94
coloma,9,3,0.0,191.47,800.98,0.0,621.81,698.86,143.6,5908.67,24.0,15.13
coloma,10,1,0.0,339.66,781.34,0.0,503.05,763.58,174.59,5401.22,25.0,15.27
coloma,10,2,0.0,127.88,888.28,0.0,549.7,710.46,177.13,5488.01,27.0,14.79
